github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/frankban/quicktest	v1.14.6
github.com/fsnotify/fsnotify	v1.8.0
github.com/google/go-cmp	v0.6.0
github.com/hashicorp/hcl	v1.0.0
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/magiconair/properties	v1.8.9
github.com/matryer/is	v1.4.1
github.com/mitchellh/mapstructure	v1.5.0
github.com/pelletier/go-toml/v2	v2.2.3
github.com/pmezard/go-difflib	v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/rogpeppe/go-internal	v1.9.0
github.com/sagikazarmark/locafero	v0.7.0
github.com/sagikazarmark/slog-shim	v0.1.0
github.com/sirupsen/logrus	v1.9.3
github.com/sourcegraph/conc	v0.3.0
github.com/spf13/afero	v1.12.0
github.com/spf13/cast	v1.7.1
github.com/spf13/pflag	v1.0.6
github.com/spf13/viper	v1.19.0
github.com/stretchr/testify	v1.10.0
github.com/subosito/gotenv	v1.6.0
go.uber.org/multierr	v1.11.0
golang.org/x/exp	v0.0.0-20250218142911-aa4b98e5adaa
golang.org/x/sys	v0.30.0
golang.org/x/text	v0.22.0
gopkg.in/alexcesaro/quotedprintable.v3	v3.0.0-20150716171945-2caba252f4dc
gopkg.in/check.v1	v1.0.0-20190902080502-41f04d3bba15
gopkg.in/gomail.v2	v2.0.0-20160411212932-81ebce5c23df
gopkg.in/ini.v1	v1.67.0
gopkg.in/yaml.v3	v3.0.1
