github.com/DzananGanic/numericalgo	v0.0.0-20170804125527-2b389385baf0
github.com/apache/thrift	v0.0.0-20181112125854-24918abba929
github.com/brianvoe/gofakeit/v4	v4.3.0
github.com/cenkalti/backoff/v4	v4.0.2
github.com/cnkei/gospline	v0.0.0-20191204072713-842a72f86331
github.com/frankban/quicktest	v1.5.0
github.com/goccy/go-json	v0.7.6
github.com/golang/freetype	v0.0.0-20170609003504-e2365dfdc4a0
github.com/golang/snappy	v0.0.0-20180518054509-2e65f85255db
github.com/google/btree	v1.0.0
github.com/google/go-cmp	v0.4.0
github.com/guptarohit/asciigraph	v0.5.1
github.com/icza/gox	v0.0.0-20200320174535-a6ff52ab3d90
github.com/juju/clock	v0.0.0-20190205081909-9c5c9712527c
github.com/juju/errors	v0.0.0-20200330140219-3fe23663418f
github.com/juju/loggo	v0.0.0-20200526014432-9ce3a2e09b5e
github.com/juju/utils/v2	v2.0.0-20200923005554-4646bfea2ef1
github.com/klauspost/compress	v1.9.7
github.com/kr/pretty	v0.1.0
github.com/kr/text	v0.1.0
github.com/mattn/go-runewidth	v0.0.7
github.com/mitchellh/mapstructure	v1.1.2
github.com/olekukonko/tablewriter	v0.0.4
github.com/ompluscator/dynamic-struct	v1.3.0
github.com/peterbourgon/diskv	v2.0.1+incompatible
github.com/rocketlaunchr/dbq/v2	v2.5.0
github.com/rocketlaunchr/mysql-go	v1.1.3
github.com/rogpeppe/fastuuid	v1.2.0
github.com/sandertv/go-formula/v2	v2.0.0-alpha.7
github.com/shabbyrobe/xmlwriter	v0.0.0-20200208144257-9fca06d00ffa
github.com/tealeg/xlsx/v3	v3.0.0
github.com/wcharczuk/go-chart	v2.0.1+incompatible
github.com/xitongsys/parquet-go	v1.5.2
github.com/xitongsys/parquet-go-source	v0.0.0-20200509081216-8db33acb0acf
github.com/zserge/lorca	v0.1.9
golang.org/x/crypto	v0.0.0-20200820211705-5c72a883971a
golang.org/x/exp	v0.0.0-20200331195152-e8c3332aa8e5
golang.org/x/image	v0.0.0-20190802002840-cff245a6509b
golang.org/x/net	v0.0.0-20200904194848-62affa334b73
golang.org/x/sync	v0.0.0-20200317015054-43a5402ce75a
golang.org/x/text	v0.3.2
golang.org/x/xerrors	v0.0.0-20191204190536-9bdfabe68543
gonum.org/v1/gonum	v0.7.0
gopkg.in/yaml.v2	v2.3.0
