fyne.io/fyne	v1.4.0
github.com/akavel/rsrc	v0.8.0
github.com/davecgh/go-spew	v1.1.1
github.com/fsnotify/fsnotify	v1.4.9
github.com/fyne-io/mobile	v0.1.1
github.com/getlantern/context	v0.0.0-20190109183933-c447772a6520
github.com/getlantern/errors	v0.0.0-20190325191628-abdb3e3e36f7
github.com/getlantern/golog	v0.0.0-20190830074920-4ef2e798c2d7
github.com/getlantern/hex	v0.0.0-20190417191902-c6586a6fe0b7
github.com/getlantern/hidden	v0.0.0-20190325191715-f02dbb02be55
github.com/getlantern/ops	v0.0.0-20190325191751-d70cb0d6f85f
github.com/getlantern/systray	v1.1.0
github.com/go-gl/gl	v0.0.0-20190320180904-bf2b1f2f34d7
github.com/go-gl/glfw/v3.3/glfw	v0.0.0-20200625191551-73d3c3675aa3
github.com/go-stack/stack	v1.8.0
github.com/godbus/dbus/v5	v5.0.3
github.com/goki/freetype	v0.0.0-20181231101311-fa8a33aabaff
github.com/jackmordaunt/icns	v0.0.0-20181231085925-4f16af745526
github.com/josephspurrier/goversioninfo	v0.0.0-20200309025242-14b0ab84c6ca
github.com/kodeworks/golang-image-ico	v0.0.0-20141118225523-73f0f4cfade9
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.1.0
github.com/lucor/goinfo	v0.0.0-20200401173949-526b5363a13a
github.com/nfnt/resize	v0.0.0-20180221191011-83c6a9932646
github.com/niemeyer/pretty	v0.0.0-20200227124842-a10e7caefd8e
github.com/oxtoacart/bpool	v0.0.0-20190530202638-03653db5a59c
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/spf13/afero	v1.1.2
github.com/spf13/pflag	v1.0.3
github.com/srwiley/oksvg	v0.0.0-20200311192757-870daf9aa564
github.com/srwiley/rasterx	v0.0.0-20200120212402-85cb7272f5e9
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.6.1
github.com/yuin/goldmark	v1.1.25
golang.org/x/crypto	v0.0.0-20200622213623-75b288015ac9
golang.org/x/image	v0.0.0-20200430140353-33d19683fad8
golang.org/x/mod	v0.2.0
golang.org/x/net	v0.0.0-20201021035429-f5854403a974
golang.org/x/sync	v0.0.0-20190911185100-cd5d95a43a6e
golang.org/x/sys	v0.0.0-20201119102817-f84b799fce68
golang.org/x/text	v0.3.3
golang.org/x/tools	v0.0.0-20200328031815-3db5fc6bac03
golang.org/x/xerrors	v0.0.0-20191204190536-9bdfabe68543
gopkg.in/check.v1	v1.0.0-20200227125254-8fa46927fb4f
gopkg.in/yaml.v2	v2.2.8
gopkg.in/yaml.v3	v3.0.0-20200313102051-9f266ea9e77c
