github.com/AlecAivazis/survey/v2	v2.3.7
github.com/BurntSushi/toml	v1.3.2
github.com/Netflix/go-expect	v0.0.0-20220104043353-73e0943537d2
github.com/briandowns/spinner	v1.23.0
github.com/cpuguy83/go-md2man/v2	v2.0.4
github.com/creack/pty	v1.1.17
github.com/davecgh/go-spew	v1.1.1
github.com/dsnet/compress	v0.0.2-0.20210315054119-f66993602bf5
github.com/dsnet/golib	v0.0.0-20171103203638-1ea166775780
github.com/fatih/color	v1.16.0
github.com/frankban/quicktest	v1.14.0
github.com/golang/snappy	v0.0.4
github.com/google/go-cmp	v0.5.6
github.com/gookit/color	v1.5.4
github.com/hinshun/vt10x	v0.0.0-20220127042424-3ca73d0126d7
github.com/k0kubun/go-ansi	v0.0.0-20180517002512-3bf9e2903213
github.com/kballard/go-shellquote	v0.0.0-20180428030007-95032a82bc51
github.com/klauspost/compress	v1.4.1
github.com/klauspost/cpuid	v1.2.0
github.com/kr/pretty	v0.3.0
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.2.0
github.com/mattn/go-colorable	v0.1.13
github.com/mattn/go-isatty	v0.0.20
github.com/mgutz/ansi	v0.0.0-20200706080929-d51e80ef957d
github.com/mholt/archiver	v3.1.1+incompatible
github.com/mitchellh/colorstring	v0.0.0-20190213212951-d06e56a500db
github.com/nwaples/rardecode	v1.1.3
github.com/pierrec/lz4	v2.6.1+incompatible
github.com/pmezard/go-difflib	v1.0.0
github.com/rivo/uniseg	v0.4.7
github.com/rogpeppe/go-internal	v1.6.1
github.com/russross/blackfriday/v2	v2.1.0
github.com/schollz/progressbar/v3	v3.14.2
github.com/stretchr/objx	v0.5.0
github.com/stretchr/testify	v1.8.4
github.com/ulikunitz/xz	v0.5.12
github.com/urfave/cli	v1.22.14
github.com/xi2/xz	v0.0.0-20171230120015-48954b6210f8
github.com/xo/terminfo	v0.0.0-20220910002029-abceb7e1c41e
github.com/yuin/goldmark	v1.4.13
golang.org/x/crypto	v0.0.0-20210921155107-089bfa567519
golang.org/x/exp	v0.0.0-20220909182711-5c715a9e8561
golang.org/x/mod	v0.8.0
golang.org/x/net	v0.0.0-20220722155237-a158d28d115b
golang.org/x/sync	v0.0.0-20220722155255-886fb9371eb4
golang.org/x/sys	v0.19.0
golang.org/x/term	v0.19.0
golang.org/x/text	v0.14.0
golang.org/x/tools	v0.6.0
golang.org/x/xerrors	v0.0.0-20191204190536-9bdfabe68543
gopkg.in/check.v1	v1.0.0-20180628173108-788fd7840127
gopkg.in/errgo.v2	v2.1.0
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
