github.com/AlecAivazis/survey/v2	v2.3.7
github.com/briandowns/spinner	v1.23.0
github.com/cpuguy83/go-md2man/v2	v2.0.4
github.com/dsnet/compress	v0.0.2-0.20210315054119-f66993602bf5
github.com/fatih/color	v1.16.0
github.com/frankban/quicktest	v1.14.0
github.com/golang/snappy	v0.0.4
github.com/gookit/color	v1.5.4
github.com/hinshun/vt10x	v0.0.0-20220127042424-3ca73d0126d7
github.com/kballard/go-shellquote	v0.0.0-20180428030007-95032a82bc51
github.com/mattn/go-colorable	v0.1.13
github.com/mattn/go-isatty	v0.0.20
github.com/mgutz/ansi	v0.0.0-20200706080929-d51e80ef957d
github.com/mholt/archiver	v3.1.1%2Bincompatible
github.com/mitchellh/colorstring	v0.0.0-20190213212951-d06e56a500db
github.com/nwaples/rardecode	v1.1.3
github.com/pierrec/lz4	v2.6.1%2Bincompatible
github.com/rivo/uniseg	v0.4.7
github.com/russross/blackfriday/v2	v2.1.0
github.com/schollz/progressbar/v3	v3.14.2
github.com/ulikunitz/xz	v0.5.12
github.com/urfave/cli	v1.22.14
github.com/xi2/xz	v0.0.0-20171230120015-48954b6210f8
github.com/xo/terminfo	v0.0.0-20220910002029-abceb7e1c41e
golang.org/x/sys	v0.19.0
golang.org/x/term	v0.19.0
golang.org/x/text	v0.14.0
