github.com/andreyvit/diff	v0.0.0-20170406064948-c7f18ee00883
github.com/davecgh/go-spew	v1.1.1
github.com/fsnotify/fsnotify	v1.4.9
github.com/kr/pretty	v0.1.0
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.1.0
github.com/pmezard/go-difflib	v1.0.0
github.com/robertkrimen/otto	v0.0.0-20191219234010-c382bd3c16ff
github.com/robfig/gettext	v0.0.0-20200526193151-a093425df149
github.com/sergi/go-diff	v1.1.0
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.4.0
github.com/yuin/goldmark	v1.4.13
golang.org/x/crypto	v0.0.0-20210921155107-089bfa567519
golang.org/x/mod	v0.6.0-dev.0.20220419223038-86c51ed26bb4
golang.org/x/net	v0.0.0-20220722155237-a158d28d115b
golang.org/x/sync	v0.0.0-20220722155255-886fb9371eb4
golang.org/x/sys	v0.0.0-20220722155257-8c9f86f7a55f
golang.org/x/term	v0.0.0-20210927222741-03fcf44c2211
golang.org/x/text	v0.3.8
golang.org/x/tools	v0.1.12
golang.org/x/xerrors	v0.0.0-20190717185122-a985d3407aa7
gopkg.in/check.v1	v1.0.0-20190902080502-41f04d3bba15
gopkg.in/sourcemap.v1	v1.0.5
gopkg.in/yaml.v2	v2.2.4
