github.com/aclements/go-moremath	v0.0.0-20210112150236-f10218a38794
github.com/aymanbagabas/go-osc52/v2	v2.0.1
github.com/charmbracelet/colorprofile	v0.2.3-0.20250311203215-f60798e515dc
github.com/charmbracelet/lipgloss	v1.1.0
github.com/charmbracelet/x/ansi	v0.8.0
github.com/charmbracelet/x/cellbuf	v0.0.13-0.20250311204145-2c3ea96c31dd
github.com/charmbracelet/x/term	v0.2.1
github.com/inconshreveable/mousetrap	v1.1.0
github.com/lucasb-eyer/go-colorful	v1.2.0
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-runewidth	v0.0.16
github.com/mitchellh/colorstring	v0.0.0-20190213212951-d06e56a500db
github.com/muesli/termenv	v0.16.0
github.com/rivo/uniseg	v0.4.7
github.com/schollz/progressbar/v3	v3.18.0
github.com/spf13/cobra	v1.9.1
github.com/spf13/pflag	v1.0.6
github.com/stretchr/testify	v1.10.0
github.com/xo/terminfo	v0.0.0-20220910002029-abceb7e1c41e
golang.org/x/perf	v0.0.0-20250909190841-7e13e04d9366
golang.org/x/sys	v0.36.0
golang.org/x/term	v0.28.0
