github.com/chzyer/logex	v1.1.10
github.com/chzyer/readline	v0.0.0-20180603132655-2972be24d48e
github.com/chzyer/test	v0.0.0-20180213035817-a1ea475d72b1
github.com/cilium/ebpf	v0.11.0
github.com/cosiner/argv	v0.1.0
github.com/cpuguy83/go-md2man/v2	v2.0.6
github.com/creack/pty	v1.1.20
github.com/derekparker/trie/v3	v3.2.0
github.com/frankban/quicktest	v1.14.5
github.com/go-delve/liner	v1.2.3-0.20231231155935-4726ab1d7f62
github.com/google/go-cmp	v0.5.9
github.com/google/go-dap	v0.12.0
github.com/inconshreveable/mousetrap	v1.1.0
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/mattn/go-colorable	v0.1.13
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-runewidth	v0.0.13
github.com/rivo/uniseg	v0.2.0
github.com/rogpeppe/go-internal	v1.9.0
github.com/russross/blackfriday/v2	v2.1.0
github.com/spf13/cobra	v1.10.2
github.com/spf13/pflag	v1.0.9
go.starlark.net	v0.0.0-20231101134539-556fd59b42f6
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/arch	v0.11.0
golang.org/x/exp	v0.0.0-20230224173230-c95f2b4c22f2
golang.org/x/mod	v0.20.0
golang.org/x/sync	v0.8.0
golang.org/x/sys	v0.26.0
golang.org/x/telemetry	v0.0.0-20241106142447-58a1122356f5
golang.org/x/term	v0.0.0-20220526004731-065cf7ba2467
golang.org/x/tools	v0.2.0
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
google.golang.org/protobuf	v1.25.0
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
rsc.io/pdf	v0.1.1
