cloud.google.com/go/auth	v0.20.0
cloud.google.com/go/auth/oauth2adapt	v0.2.8
cloud.google.com/go/compute/metadata	v0.9.0
cloud.google.com/go/iam	v1.11.0
cloud.google.com/go/kms	v1.31.0
cloud.google.com/go/longrunning	v1.0.0
filippo.io/mldsa	v0.0.0-20260215214346-43d0283efc3e
github.com/AdamKorcz/go-fuzz-headers-1	v0.0.0-20230919221257-8b5d3ce2d11d
github.com/Azure/azure-sdk-for-go/sdk/azcore	v1.21.1
github.com/Azure/azure-sdk-for-go/sdk/azidentity	v1.13.1
github.com/Azure/azure-sdk-for-go/sdk/internal	v1.12.0
github.com/Azure/azure-sdk-for-go/sdk/security/keyvault/azkeys	v1.5.0
github.com/Azure/azure-sdk-for-go/sdk/security/keyvault/internal	v1.2.0
github.com/AzureAD/microsoft-authentication-library-for-go	v1.7.0
github.com/ProtonMail/go-crypto	v1.4.1
github.com/PuerkitoBio/goquery	v1.12.0
github.com/alecthomas/assert/v2	v2.11.0
github.com/alecthomas/kong	v1.15.0
github.com/alecthomas/repr	v0.5.2
github.com/andybalholm/cascadia	v1.3.3
github.com/asaskevich/govalidator	v0.0.0-20230301143203-a9d515a09cc2
github.com/aws/aws-sdk-go-v2	v1.41.9
github.com/aws/aws-sdk-go-v2/config	v1.32.20
github.com/aws/aws-sdk-go-v2/credentials	v1.19.19
github.com/aws/aws-sdk-go-v2/feature/ec2/imds	v1.18.25
github.com/aws/aws-sdk-go-v2/internal/configsources	v1.4.25
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2	v2.7.25
github.com/aws/aws-sdk-go-v2/internal/v4a	v1.4.26
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding	v1.13.10
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url	v1.13.25
github.com/aws/aws-sdk-go-v2/service/kms	v1.52.0
github.com/aws/aws-sdk-go-v2/service/signin	v1.1.1
github.com/aws/aws-sdk-go-v2/service/sso	v1.30.19
github.com/aws/aws-sdk-go-v2/service/ssooidc	v1.36.2
github.com/aws/aws-sdk-go-v2/service/sts	v1.42.3
github.com/aws/smithy-go	v1.26.0
github.com/blang/semver	v3.5.1%2Bincompatible
github.com/bradleyfalzon/ghinstallation/v2	v2.19.0
github.com/cenkalti/backoff/v4	v4.3.0
github.com/cenkalti/backoff/v5	v5.0.3
github.com/cespare/xxhash/v2	v2.3.0
github.com/cloudflare/circl	v1.6.3
github.com/codahale/rfc6979	v0.0.0-20141003034818-6a90f24967eb
github.com/coreos/go-oidc/v3	v3.17.0
github.com/cyberphone/json-canonicalization	v0.0.0-20241213102144-19d51d7fe467
github.com/davecgh/go-spew	v1.1.1
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/digitorus/pkcs7	v0.0.0-20230818184609-3a137a874352
github.com/digitorus/timestamp	v0.0.0-20231217203849-220c5c2851b7
github.com/dlclark/regexp2	v1.11.0
github.com/felixge/httpsnoop	v1.0.4
github.com/getkin/kin-openapi	v0.140.0
github.com/go-chi/chi/v5	v5.3.0
github.com/go-jose/go-jose/v4	v4.1.4
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-openapi/analysis	v0.25.2
github.com/go-openapi/errors	v0.22.8
github.com/go-openapi/jsonpointer	v0.22.5
github.com/go-openapi/jsonpointer	v0.23.1
github.com/go-openapi/jsonreference	v0.21.6
github.com/go-openapi/loads	v0.24.0
github.com/go-openapi/runtime	v0.32.4
github.com/go-openapi/runtime/server-middleware	v0.30.0
github.com/go-openapi/spec	v0.22.6
github.com/go-openapi/strfmt	v0.26.4
github.com/go-openapi/swag	v0.26.1
github.com/go-openapi/swag/cmdutils	v0.26.1
github.com/go-openapi/swag/conv	v0.27.0
github.com/go-openapi/swag/fileutils	v0.26.1
github.com/go-openapi/swag/jsonname	v0.25.5
github.com/go-openapi/swag/jsonname	v0.26.1
github.com/go-openapi/swag/jsonutils	v0.26.1
github.com/go-openapi/swag/jsonutils/fixtures_test	v0.26.1
github.com/go-openapi/swag/loading	v0.26.1
github.com/go-openapi/swag/mangling	v0.26.1
github.com/go-openapi/swag/netutils	v0.26.1
github.com/go-openapi/swag/stringutils	v0.26.1
github.com/go-openapi/swag/typeutils	v0.27.0
github.com/go-openapi/swag/yamlutils	v0.26.1
github.com/go-openapi/testify/enable/yaml/v2	v2.5.1
github.com/go-openapi/testify/v2	v2.4.0
github.com/go-openapi/testify/v2	v2.6.0
github.com/go-openapi/validate	v0.26.0
github.com/go-test/deep	v1.1.1
github.com/go-viper/mapstructure/v2	v2.5.0
github.com/godbus/dbus/v5	v5.1.0
github.com/gofri/go-github-pagination	v1.0.1
github.com/gofri/go-github-ratelimit/v2	v2.0.2
github.com/golang-jwt/jwt/v4	v4.5.2
github.com/golang-jwt/jwt/v5	v5.3.1
github.com/golang/protobuf	v1.5.4
github.com/golangci/plugin-module-register	v0.1.2
github.com/google/certificate-transparency-go	v1.3.3
github.com/google/go-cmp	v0.6.0
github.com/google/go-cmp	v0.7.0
github.com/google/go-containerregistry	v0.21.7
github.com/google/go-github/otel/v89	
github.com/google/go-github/scrape	
github.com/google/go-github/v88	v88.0.0
github.com/google/go-github/v89/example	
github.com/google/go-github/v89/tools/check-structfield-settings	
github.com/google/go-github/v89/tools/extraneousnew	
github.com/google/go-github/v89/tools/structfield	
github.com/google/go-querystring	v1.2.0
github.com/google/s2a-go	v0.1.9
github.com/google/uuid	v1.6.0
github.com/googleapis/enterprise-certificate-proxy	v0.3.16
github.com/googleapis/gax-go/v2	v2.22.0
github.com/grpc-ecosystem/grpc-gateway/v2	v2.29.0
github.com/hashicorp/errwrap	v1.1.0
github.com/hashicorp/go-cleanhttp	v0.5.2
github.com/hashicorp/go-multierror	v1.1.1
github.com/hashicorp/go-retryablehttp	v0.7.8
github.com/hashicorp/go-rootcerts	v1.0.2
