filippo.io/edwards25519	v1.2.0
github.com/Masterminds/semver/v3	v3.1.1
github.com/bradleyjkemp/cupaloy	v2.3.0%2Bincompatible
github.com/brianvoe/gofakeit/v5	v5.11.2
github.com/brianvoe/gofakeit/v6	v6.4.1
github.com/cenkalti/backoff/v5	v5.0.3
github.com/cespare/xxhash/v2	v2.3.0
github.com/cockroachdb/apd	v1.1.0
github.com/cpuguy83/go-md2man/v2	v2.0.7
github.com/davecgh/go-spew	v1.1.1
github.com/denisenkom/go-mssqldb	v0.12.2
github.com/denisenkom/go-mssqldb	v0.12.3
github.com/dustin/go-humanize	v1.0.1
github.com/fatih/color	v1.18.0
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-sql-driver/mysql	v1.6.0
github.com/go-sql-driver/mysql	v1.9.3
github.com/gofrs/uuid	v3.2.0%2Bincompatible
github.com/golang-sql/civil	v0.0.0-20220223132316-b832511892a9
github.com/golang-sql/sqlexp	v0.1.0
github.com/golang/protobuf	v1.5.4
github.com/google/go-cmp	v0.7.0
github.com/google/pprof	v0.0.0-20250317173921-a4b03ec1a45e
github.com/google/uuid	v1.6.0
github.com/grpc-ecosystem/grpc-gateway/v2	v2.28.0
github.com/hashicorp/golang-lru/v2	v2.0.7
github.com/jackc/chunkreader/v2	v2.0.1
github.com/jackc/pgconn	v1.8.1
github.com/jackc/pgio	v1.0.0
github.com/jackc/pgmock	v0.0.0-20190831213851-13a1b77aafa2
github.com/jackc/pgpassfile	v1.0.0
github.com/jackc/pgproto3/v2	v2.0.6
github.com/jackc/pgservicefile	v0.0.0-20200714003250-2b9c44734f2b
github.com/jackc/pgtype	v1.7.0
github.com/jackc/pgx/v4	v4.11.0
github.com/jinzhu/inflection	v1.0.0
github.com/kr/text	v0.1.0
github.com/kr/text	v0.2.0
github.com/lib/pq	v1.3.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-sqlite3	v1.14.34
github.com/ncruces/go-strftime	v1.0.0
github.com/newrelic/go-agent/v3	v3.42.0
github.com/niemeyer/pretty	v0.0.0-20200227124842-a10e7caefd8e
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/puzpuzpuz/xsync/v3	v3.5.1
github.com/remyoudompheng/bigfft	v0.0.0-20230129092748-24d4a6f8daec
github.com/rs/zerolog	v1.34.0
github.com/russross/blackfriday/v2	v2.1.0
github.com/shopspring/decimal	v0.0.0-20200227202807-02e2044944cc
github.com/stretchr/testify	v1.11.1
github.com/stretchr/testify	v1.8.1
github.com/tmthrgd/go-hex	v0.0.0-20190904060850-447a3041c3bc
github.com/uptrace/bun/dbfixture	
github.com/uptrace/bun/dialect/mssqldialect	
github.com/uptrace/bun/dialect/mysqldialect	
github.com/uptrace/bun/dialect/oracledialect	
github.com/uptrace/bun/dialect/pgdialect	
github.com/uptrace/bun/dialect/sqlitedialect	
github.com/uptrace/bun/driver/pgdriver	
github.com/uptrace/bun/driver/sqliteshim	
github.com/uptrace/bun/example/basic	
github.com/uptrace/bun/example/create-table-index	
github.com/uptrace/bun/example/cursor-pagination	
github.com/uptrace/bun/example/custom-type	
github.com/uptrace/bun/example/fixture	
github.com/uptrace/bun/example/get-where-fields	
github.com/uptrace/bun/example/migrate	
github.com/uptrace/bun/example/model-hooks	
github.com/uptrace/bun/example/multi-tenant	
github.com/uptrace/bun/example/opentelemetry	
github.com/uptrace/bun/example/pg-faceted-search	
github.com/uptrace/bun/example/pg-listen	
github.com/uptrace/bun/example/pg-range	
github.com/uptrace/bun/example/placeholders	
github.com/uptrace/bun/example/rel-belongs-to	
github.com/uptrace/bun/example/rel-has-many	
github.com/uptrace/bun/example/rel-has-many-polymorphic	
github.com/uptrace/bun/example/rel-has-one	
github.com/uptrace/bun/example/rel-join-condition	
github.com/uptrace/bun/example/rel-many-to-many	
github.com/uptrace/bun/example/rel-many-to-many-self	
github.com/uptrace/bun/example/string-representation	
github.com/uptrace/bun/example/trivial	
github.com/uptrace/bun/example/tx-composition	
github.com/uptrace/bun/extra/bunbig	
github.com/uptrace/bun/extra/bundebug	
github.com/uptrace/bun/extra/bunotel	
github.com/uptrace/bun/extra/bunrelic	
github.com/uptrace/bun/extra/bunslog	
github.com/uptrace/bun/internal/dbtest	
github.com/uptrace/opentelemetry-go-extra/otelsql	v0.3.2
github.com/uptrace/uptrace-go	v1.40.0
github.com/urfave/cli/v2	v2.27.7
github.com/vmihailenco/msgpack/v5	v5.4.1
github.com/vmihailenco/tagparser/v2	v2.0.0
github.com/xrash/smetrics	v0.0.0-20250705151800-55b8f293f342
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/contrib/instrumentation/runtime	v0.65.0
go.opentelemetry.io/contrib/processors/minsev	v0.13.0
go.opentelemetry.io/otel	v1.39.0
go.opentelemetry.io/otel	v1.40.0
go.opentelemetry.io/otel/exporters/otlp/otlplog/otlploghttp	v0.16.0
go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetrichttp	v1.40.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace	v1.40.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp	v1.40.0
go.opentelemetry.io/otel/exporters/stdout/stdouttrace	v1.40.0
go.opentelemetry.io/otel/log	v0.16.0
go.opentelemetry.io/otel/metric	v1.39.0
go.opentelemetry.io/otel/metric	v1.40.0
go.opentelemetry.io/otel/sdk	v1.39.0
go.opentelemetry.io/otel/sdk	v1.40.0
go.opentelemetry.io/otel/sdk/log	v0.16.0
go.opentelemetry.io/otel/sdk/log/logtest	v0.16.0
go.opentelemetry.io/otel/sdk/metric	v1.39.0
go.opentelemetry.io/otel/sdk/metric	v1.40.0
go.opentelemetry.io/otel/trace	v1.39.0
go.opentelemetry.io/otel/trace	v1.40.0
go.opentelemetry.io/proto/otlp	v1.9.0
go.uber.org/goleak	v1.3.0
golang.org/x/crypto	v0.48.0
golang.org/x/exp	v0.0.0-20260218203240-3dfff04db8fa
golang.org/x/mod	v0.33.0
golang.org/x/net	v0.51.0
golang.org/x/sync	v0.19.0
golang.org/x/sys	v0.41.0
golang.org/x/text	v0.34.0
golang.org/x/tools	v0.42.0
gonum.org/v1/gonum	v0.16.0
google.golang.org/genproto/googleapis/api	v0.0.0-20260226221140-a57be14db171
google.golang.org/genproto/googleapis/rpc	v0.0.0-20260226221140-a57be14db171
google.golang.org/grpc	v1.79.1
google.golang.org/protobuf	v1.36.11
gopkg.in/check.v1	v1.0.0-20200227125254-8fa46927fb4f
gopkg.in/yaml.v3	v3.0.1
mellium.im/sasl	v0.3.2
modernc.org/cc/v4	v4.27.1
modernc.org/ccgo/v4	v4.30.2
modernc.org/fileutil	v1.3.40
modernc.org/gc/v2	v2.6.5
modernc.org/gc/v3	v3.1.2
modernc.org/goabi0	v0.2.0
modernc.org/libc	v1.68.0
modernc.org/mathutil	v1.7.1
