github.com/benbjohnson/clock	v1.1.0
github.com/cespare/xxhash/v2	v2.1.2
github.com/davecgh/go-spew	v1.1.1
github.com/dgryski/go-rendezvous	v0.0.0-20200823014737-9f7001d12a5f
github.com/edwingeng/slog	v0.0.0-20221027170832-482f0dfb6247
github.com/fsnotify/fsnotify	v1.4.9
github.com/go-redis/redis	v6.15.9+incompatible
github.com/go-redis/redis/v8	v8.11.5
github.com/go-sql-driver/mysql	v1.6.0
github.com/golang/snappy	v0.0.1
github.com/google/go-cmp	v0.5.2
github.com/klauspost/compress	v1.13.6
github.com/kr/pretty	v0.1.0
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.1.0
github.com/montanaflynn/stats	v0.0.0-20171201202039-1bf9dbcd8cbe
github.com/nxadm/tail	v1.4.8
github.com/onsi/ginkgo	v1.16.5
github.com/onsi/gomega	v1.18.1
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.8.0
github.com/tidwall/pretty	v1.0.0
github.com/xdg-go/pbkdf2	v1.0.0
github.com/xdg-go/scram	v1.1.1
github.com/xdg-go/stringprep	v1.0.3
github.com/youmark/pkcs8	v0.0.0-20181117223130-1be2e3e5546d
go.mongodb.org/mongo-driver	v1.10.2
go.uber.org/atomic	v1.10.0
go.uber.org/goleak	v1.1.11
go.uber.org/multierr	v1.8.0
go.uber.org/zap	v1.23.0
golang.org/x/crypto	v0.0.0-20220622213112-05595931fe9d
golang.org/x/mod	v0.6.0-dev.0.20220419223038-86c51ed26bb4
golang.org/x/net	v0.7.0
golang.org/x/sync	v0.0.0-20210220032951-036812b2e83c
golang.org/x/sys	v0.5.0
golang.org/x/term	v0.5.0
golang.org/x/text	v0.7.0
golang.org/x/tools	v0.1.12
golang.org/x/xerrors	v0.0.0-20191204190536-9bdfabe68543
gopkg.in/check.v1	v1.0.0-20180628173108-788fd7840127
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
