cloud.google.com/go/auth	v0.20.0
cloud.google.com/go/auth/oauth2adapt	v0.2.8
cloud.google.com/go/compute/metadata	v0.9.0
github.com/AdamSLevy/jsonrpc2/v14	v14.1.0
github.com/Azure/azure-sdk-for-go/sdk/azcore	v1.22.0
github.com/Azure/azure-sdk-for-go/sdk/azidentity	v1.14.0
github.com/Azure/azure-sdk-for-go/sdk/internal	v1.12.0
github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/dns/armdns	v1.2.0
github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/privatedns/armprivatedns	v1.3.0
github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/resourcegraph/armresourcegraph	v0.10.0
github.com/AzureAD/microsoft-authentication-library-for-go	v1.7.2
github.com/BurntSushi/toml	v1.6.0
github.com/akamai/AkamaiOPEN-edgegrid-golang/v13	v13.3.0
github.com/alexbrainman/sspi	v0.0.0-20250919150558-7d374ff0d59e
github.com/alibabacloud-go/alibabacloud-gateway-spi	v0.0.5
github.com/alibabacloud-go/darabonba-openapi/v2	v2.2.3
github.com/alibabacloud-go/debug	v1.0.1
github.com/alibabacloud-go/tea	v1.5.2
github.com/alibabacloud-go/tea-utils/v2	v2.0.9
github.com/aliyun/credentials-go	v1.4.7
github.com/aws/aws-sdk-go-v2	v1.42.1
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream	v1.7.14
github.com/aws/aws-sdk-go-v2/config	v1.32.30
github.com/aws/aws-sdk-go-v2/credentials	v1.19.29
github.com/aws/aws-sdk-go-v2/feature/ec2/imds	v1.18.30
github.com/aws/aws-sdk-go-v2/internal/configsources	v1.4.30
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2	v2.7.30
github.com/aws/aws-sdk-go-v2/internal/v4a	v1.4.31
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding	v1.13.13
github.com/aws/aws-sdk-go-v2/service/internal/checksum	v1.9.23
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url	v1.13.30
github.com/aws/aws-sdk-go-v2/service/internal/s3shared	v1.19.31
github.com/aws/aws-sdk-go-v2/service/lightsail	v1.57.1
github.com/aws/aws-sdk-go-v2/service/route53	v1.64.1
github.com/aws/aws-sdk-go-v2/service/s3	v1.105.1
github.com/aws/aws-sdk-go-v2/service/signin	v1.4.1
github.com/aws/aws-sdk-go-v2/service/sso	v1.32.1
github.com/aws/aws-sdk-go-v2/service/ssooidc	v1.37.1
github.com/aws/aws-sdk-go-v2/service/sts	v1.44.1
github.com/aws/smithy-go	v1.27.3
github.com/aziontech/azionapi-go-sdk	v0.147.0
github.com/baidubce/bce-sdk-go	v0.9.270
github.com/benbjohnson/clock	v1.3.5
github.com/bodgit/gssapi	v0.0.4
github.com/bodgit/tsig	v1.3.1
github.com/boombuler/barcode	v1.0.1
github.com/bradfitz/gomemcache	v0.0.0-20260422231931-4d751bb6e37c
github.com/cenkalti/backoff/v4	v4.3.0
github.com/cenkalti/backoff/v5	v5.0.3
github.com/cespare/xxhash/v2	v2.3.0
github.com/clbanning/mxj/v2	v2.7.0
github.com/dnsimple/dnsimple-go/v9	v9.1.0
github.com/exoscale/egoscale/v3	v3.1.41
github.com/fatih/structs	v1.1.0
github.com/felixge/httpsnoop	v1.0.4
github.com/fsnotify/fsnotify	v1.10.1
github.com/gabriel-vasile/mimetype	v1.4.13
github.com/ghodss/yaml	v1.0.0
github.com/go-acme/alidns-20150109/v5	v5.5.0
github.com/go-acme/esa-20240910/v3	v3.4.0
github.com/go-acme/jdcloud-sdk-go	v1.64.0
github.com/go-acme/tencentclouddnspod	v1.3.24
github.com/go-acme/tencentedgdeone	v1.3.38
github.com/go-errors/errors	v1.0.1
github.com/go-jose/go-jose/v4	v4.1.4
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-ozzo/ozzo-validation/v4	v4.3.0
github.com/go-playground/locales	v0.14.1
github.com/go-playground/universal-translator	v0.18.1
github.com/go-playground/validator/v10	v10.30.3
github.com/go-resty/resty/v2	v2.17.2
github.com/go-viper/mapstructure/v2	v2.5.0
github.com/goccy/go-yaml	v1.19.2
github.com/gofrs/flock	v0.13.0
github.com/gofrs/uuid	v4.4.0+incompatible
github.com/golang-jwt/jwt/v4	v4.5.2
github.com/golang-jwt/jwt/v5	v5.3.1
github.com/golang/protobuf	v1.5.4
github.com/google/go-cmp	v0.7.0
github.com/google/go-querystring	v1.2.0
github.com/google/s2a-go	v0.1.9
github.com/google/uuid	v1.6.0
github.com/googleapis/enterprise-certificate-proxy	v0.3.17
github.com/googleapis/gax-go/v2	v2.22.0
github.com/gophercloud/gophercloud	v1.14.1
github.com/gophercloud/utils	v0.0.0-20231010081019-80377eca5d56
github.com/gorilla/websocket	v1.5.3
github.com/hashicorp/errwrap	v1.0.0
github.com/hashicorp/go-cleanhttp	v0.5.2
github.com/hashicorp/go-multierror	v1.1.1
github.com/hashicorp/go-retryablehttp	v0.7.8
github.com/hashicorp/go-uuid	v1.0.3
github.com/hashicorp/go-version	v1.9.0
github.com/hashicorp/hcl	v1.0.0
github.com/huaweicloud/huaweicloud-sdk-go-v3	v0.1.205
github.com/infobloxopen/infoblox-go-client/v2	v2.11.0
github.com/jcmturner/aescts/v2	v2.0.0
github.com/jcmturner/dnsutils/v2	v2.0.0
github.com/jcmturner/gofork	v1.7.6
github.com/jcmturner/goidentity/v6	v6.0.1
github.com/jcmturner/gokrb5/v8	v8.4.4
github.com/jcmturner/rpc/v2	v2.0.3
github.com/joho/godotenv	v1.5.1
github.com/json-iterator/go	v1.1.13-0.20220915233716-71ac16282d12
github.com/k0kubun/go-ansi	v0.0.0-20180517002512-3bf9e2903213
github.com/kolo/xmlrpc	v0.0.0-20220921171641-a4b6fa1dd06b
github.com/kylelemons/godebug	v1.1.0
github.com/labbsr0x/bindman-dns-webhook	v1.0.2
github.com/labbsr0x/goh	v1.0.1
