github.com/davecgh/go-spew	v1.1.1
github.com/ebitengine/purego	v0.10.1
github.com/eiannone/keyboard	v0.0.0-20220611211555-0d226195f203
github.com/go-ole/go-ole	v1.3.0
github.com/google/go-cmp	v0.7.0
github.com/lufia/plan9stats	v0.0.0-20211012122336-39d0f177ccd0
github.com/pmezard/go-difflib	v1.0.0
github.com/power-devops/perfstat	v0.0.0-20240221224432-82ca36839d55
github.com/shirou/gopsutil/v4	v4.26.6
github.com/stretchr/testify	v1.11.1
github.com/tklauser/go-sysconf	v0.3.16
github.com/tklauser/numcpus	v0.11.0
github.com/yusufpapurcu/wmi	v1.2.4
golang.org/x/sys	v0.46.0
gopkg.in/yaml.v3	v3.0.1
