cloud.google.com/go/auth	v0.17.0
cloud.google.com/go/auth/oauth2adapt	v0.2.8
cloud.google.com/go/compute/metadata	v0.9.0
cloud.google.com/go/iam	v1.5.3
cloud.google.com/go/kms	v1.23.2
cloud.google.com/go/longrunning	v0.6.7
dario.cat/mergo	v1.0.2
filippo.io/bigmod	v0.1.1-0.20260103110540-f8a47775ebe5
filippo.io/edwards25519	v1.1.0
filippo.io/keygen	v0.0.0-20260114151900-8e2790ea4c5b
fyne.io/fyne/v2	v2.7.3
fyne.io/systray	v1.12.0
github.com/AdaLogics/go-fuzz-headers	v0.0.0-20240806141605-e8a1dd7889d6
github.com/AdamKorcz/go-fuzz-headers-1	v0.0.0-20230919221257-8b5d3ce2d11d
github.com/Azure/azure-sdk-for-go/sdk/azcore	v1.20.0
github.com/Azure/azure-sdk-for-go/sdk/azidentity	v1.13.1
github.com/Azure/azure-sdk-for-go/sdk/internal	v1.11.2
github.com/Azure/azure-sdk-for-go/sdk/security/keyvault/azkeys	v1.4.0
github.com/Azure/azure-sdk-for-go/sdk/security/keyvault/internal	v1.2.0
github.com/Azure/go-ansiterm	v0.0.0-20250102033503-faa5f7b0171c
github.com/AzureAD/microsoft-authentication-library-for-go	v1.6.0
github.com/BurntSushi/toml	v1.5.0
github.com/JohannesKaufmann/dom	v0.2.0
github.com/JohannesKaufmann/html-to-markdown/v2	v2.4.0
github.com/KyleBanks/depth	v1.2.1
github.com/Masterminds/goutils	v1.1.1
github.com/Masterminds/semver/v3	v3.4.0
github.com/Masterminds/sprig/v3	v3.3.0
github.com/Microsoft/go-winio	v0.6.2
github.com/Microsoft/hcsshim	v0.11.7
github.com/ProtonMail/go-crypto	v1.1.6
github.com/PuerkitoBio/goquery	v1.10.3
github.com/RoaringBitmap/roaring/v2	v2.4.5
github.com/alecthomas/assert/v2	v2.11.0
github.com/alecthomas/chroma/v2	v2.20.0
github.com/alecthomas/kong	v1.15.0
github.com/alecthomas/repr	v0.5.2
github.com/andybalholm/brotli	v1.2.0
github.com/andybalholm/cascadia	v1.3.3
github.com/anmitsu/go-shlex	v0.0.0-20200514113438-38f4b401e2be
github.com/antchfx/htmlquery	v1.3.4
github.com/antchfx/xmlquery	v1.4.4
github.com/antchfx/xpath	v1.3.6
github.com/anthropics/anthropic-sdk-go	v1.42.0
github.com/armon/go-socks5	v0.0.0-20160902184237-e75332964ef5
github.com/asaskevich/govalidator	v0.0.0-20230301143203-a9d515a09cc2
github.com/aws/aws-sdk-go	v1.55.7
github.com/aws/aws-sdk-go-v2	v1.41.7
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream	v1.7.9
github.com/aws/aws-sdk-go-v2/config	v1.32.16
github.com/aws/aws-sdk-go-v2/credentials	v1.19.17
github.com/aws/aws-sdk-go-v2/feature/ec2/imds	v1.18.23
github.com/aws/aws-sdk-go-v2/internal/configsources	v1.4.23
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2	v2.7.23
github.com/aws/aws-sdk-go-v2/internal/v4a	v1.4.24
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding	v1.13.9
github.com/aws/aws-sdk-go-v2/service/internal/checksum	v1.9.14
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url	v1.13.23
github.com/aws/aws-sdk-go-v2/service/internal/s3shared	v1.19.22
github.com/aws/aws-sdk-go-v2/service/kms	v1.48.2
github.com/aws/aws-sdk-go-v2/service/s3	v1.99.1
github.com/aws/aws-sdk-go-v2/service/signin	v1.0.11
github.com/aws/aws-sdk-go-v2/service/sso	v1.30.17
github.com/aws/aws-sdk-go-v2/service/ssooidc	v1.36.0
github.com/aws/aws-sdk-go-v2/service/sts	v1.42.1
github.com/aws/smithy-go	v1.25.1
github.com/aymanbagabas/go-osc52/v2	v2.0.1
github.com/aymanbagabas/go-udiff	v0.2.0
github.com/aymerick/douceur	v0.2.0
github.com/bahlo/generic-list-go	v0.2.0
github.com/benbjohnson/clock	v1.3.5
github.com/beorn7/perks	v1.0.1
github.com/bits-and-blooms/bitset	v1.24.0
github.com/blang/semver	v3.5.1%2Bincompatible
github.com/blevesearch/bleve/v2	v2.5.7
github.com/blevesearch/bleve_index_api	v1.2.11
github.com/blevesearch/geo	v0.2.4
github.com/blevesearch/go-faiss	v1.0.26
github.com/blevesearch/go-porterstemmer	v1.0.3
github.com/blevesearch/gtreap	v0.1.1
github.com/blevesearch/mmap-go	v1.0.4
github.com/blevesearch/scorch_segment_api/v2	v2.3.13
github.com/blevesearch/segment	v0.9.1
github.com/blevesearch/snowballstem	v0.9.0
github.com/blevesearch/upsidedown_store_api	v1.0.2
github.com/blevesearch/vellum	v1.1.0
github.com/blevesearch/zapx/v11	v11.4.2
github.com/blevesearch/zapx/v12	v12.4.2
github.com/blevesearch/zapx/v13	v13.4.2
github.com/blevesearch/zapx/v14	v14.4.2
github.com/blevesearch/zapx/v15	v15.4.2
github.com/blevesearch/zapx/v16	v16.2.8
github.com/buger/jsonparser	v1.1.2
github.com/bwmarrin/discordgo	v0.29.0
github.com/c-robinson/iplib	v1.0.8
github.com/canonical/go-sp800.90a-drbg	v0.0.0-20210314144037-6eeb1040d6c3
github.com/cenkalti/backoff/v4	v4.3.0
github.com/cenkalti/backoff/v5	v5.0.3
github.com/cespare/xxhash/v2	v2.3.0
github.com/charmbracelet/colorprofile	v0.2.3-0.20250311203215-f60798e515dc
github.com/charmbracelet/glamour	v1.0.0
github.com/charmbracelet/lipgloss	v1.1.1-0.20250404203927-76690c660834
github.com/charmbracelet/x/ansi	v0.10.2
github.com/charmbracelet/x/cellbuf	v0.0.13
github.com/charmbracelet/x/exp/golden	v0.0.0-20240806155701-69247e0abc2a
github.com/charmbracelet/x/exp/slice	v0.0.0-20250327172914-2fdc97757edf
github.com/charmbracelet/x/term	v0.2.1
github.com/chengxilo/virtualterm	v1.0.4
github.com/cloudflare/circl	v1.6.3
