github.com/Netflix/go-expect	v0.0.0-20180615182759-c93bf25de8e8
github.com/davecgh/go-spew	v1.1.1
github.com/fatih/color	v1.7.0
github.com/fsnotify/fsnotify	v1.4.7
github.com/git-chglog/git-chglog	v0.0.0-20190611050339-63a4e637021f
github.com/go-redis/redis/v7	v7.3.0
github.com/golang/protobuf	v1.3.3
github.com/google/uuid	v1.0.0
github.com/hinshun/vt10x	v0.0.0-20180616224451-1954e6464174
github.com/hpcloud/tail	v1.0.0
github.com/imdario/mergo	v0.3.7
github.com/kballard/go-shellquote	v0.0.0-20180428030007-95032a82bc51
github.com/kr/pretty	v0.1.0
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.1.0
github.com/mattn/go-colorable	v0.1.2
github.com/mattn/go-isatty	v0.0.8
github.com/mattn/goveralls	v0.0.2
github.com/mgutz/ansi	v0.0.0-20170206155736-9520e82c474b
github.com/onsi/ginkgo	v1.10.1
github.com/onsi/gomega	v1.7.0
github.com/pborman/uuid	v1.2.0
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.5.1
github.com/tsuyoshiwada/go-gitcmd	v0.0.0-20180205145712-5f1f5f9475df
github.com/urfave/cli	v1.20.0
golang.org/x/crypto	v0.0.0-20190308221718-c2843e01d9a2
golang.org/x/net	v0.0.0-20190923162816-aa69164e4478
golang.org/x/sync	v0.0.0-20190423024810-112230192c58
golang.org/x/sys	v0.0.0-20191010194322-b09406accb47
golang.org/x/text	v0.3.2
golang.org/x/tools	v0.0.0-20190706070813-72ffa07ba3db
gopkg.in/AlecAivazis/survey.v1	v1.8.5
gopkg.in/check.v1	v1.0.0-20190902080502-41f04d3bba15
gopkg.in/fsnotify.v1	v1.4.7
gopkg.in/kyokomi/emoji.v1	v1.5.1
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.3.0
