github.com/creack/pty	v1.1.9
github.com/davecgh/go-spew	v1.1.1
github.com/gkampitakis/ciinfo	v0.3.4
github.com/goccy/go-yaml	v1.19.2
github.com/kr/pretty	v0.3.1
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.2.0
github.com/maruel/natural	v1.3.0
github.com/pkg/diff	v0.0.0-20210226163009-20ebb0f2a09e
github.com/pmezard/go-difflib	v1.0.0
github.com/rogpeppe/go-internal	v1.13.1
github.com/sergi/go-diff	v1.4.0
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.4.0
github.com/tidwall/gjson	v1.19.0
github.com/tidwall/match	v1.1.1
github.com/tidwall/pretty	v1.2.1
github.com/tidwall/sjson	v1.2.5
golang.org/x/mod	v0.18.0
golang.org/x/sys	v0.21.0
golang.org/x/tools	v0.22.0
gopkg.in/check.v1	v1.0.0-20190902080502-41f04d3bba15
gopkg.in/yaml.v2	v2.4.0
