cloud.google.com/go/auth	v0.20.0
cloud.google.com/go/auth/oauth2adapt	v0.2.8
cloud.google.com/go/compute/metadata	v0.9.0
dario.cat/mergo	v1.0.0
github.com/Microsoft/go-winio	v0.6.2
github.com/ProtonMail/go-crypto	v1.1.6
github.com/anmitsu/go-shlex	v0.0.0-20200514113438-38f4b401e2be
github.com/armon/go-socks5	v0.0.0-20160902184237-e75332964ef5
github.com/cespare/xxhash/v2	v2.3.0
github.com/cloudflare/circl	v1.6.3
github.com/cncf/xds/go	v0.0.0-20260202195803-dba9d589def2
github.com/cyphar/filepath-securejoin	v0.6.1
github.com/davecgh/go-spew	v1.1.1
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/elazarl/goproxy	v1.7.2
github.com/emirpasic/gods	v1.18.1
github.com/envoyproxy/go-control-plane/envoy	v1.37.0
github.com/envoyproxy/protoc-gen-validate	v1.3.3
github.com/felixge/httpsnoop	v1.0.4
github.com/gliderlabs/ssh	v0.3.8
github.com/go-git/gcfg	v1.5.1-0.20230307220236-3a3c6141e376
github.com/go-git/go-billy/v5	v5.9.0
github.com/go-git/go-git-fixtures/v4	v4.3.2-0.20231010084843-55a94097c399
github.com/go-git/go-git/v5	v5.19.1
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/golang/groupcache	v0.0.0-20241129210726-2c02b8208cf8
github.com/golang/protobuf	v1.5.4
github.com/google/go-cmp	v0.7.0
github.com/google/go-github/v59	v59.0.0
github.com/google/go-querystring	v1.1.0
github.com/google/s2a-go	v0.1.9
github.com/google/uuid	v1.6.0
github.com/googleapis/enterprise-certificate-proxy	v0.3.18
github.com/googleapis/gax-go/v2	v2.23.0
github.com/jbenet/go-context	v0.0.0-20150711004518-d14ea06fba99
github.com/kevinburke/ssh_config	v1.2.0
github.com/klauspost/cpuid/v2	v2.3.0
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/onsi/gomega	v1.34.1
github.com/pjbgf/sha1cd	v0.6.0
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/pmezard/go-difflib	v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/rogpeppe/go-internal	v1.14.1
github.com/sergi/go-diff	v1.3.2-0.20230802210424-5b0b94c5c0d3
github.com/skeema/knownhosts	v1.3.1
github.com/stretchr/testify	v1.11.1
github.com/xanzy/ssh-agent	v0.3.3
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc	v0.67.0
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp	v0.67.0
go.opentelemetry.io/otel	v1.44.0
go.opentelemetry.io/otel/metric	v1.44.0
go.opentelemetry.io/otel/sdk	v1.44.0
go.opentelemetry.io/otel/sdk/metric	v1.44.0
go.opentelemetry.io/otel/trace	v1.44.0
golang.org/x/crypto	v0.52.0
golang.org/x/crypto	v0.54.0
golang.org/x/exp	v0.0.0-20260410095643-746e56fc9e2f
golang.org/x/net	v0.55.0
golang.org/x/net	v0.57.0
golang.org/x/oauth2	v0.36.0
golang.org/x/sync	v0.22.0
golang.org/x/sys	v0.45.0
golang.org/x/sys	v0.47.0
golang.org/x/term	v0.43.0
golang.org/x/text	v0.37.0
golang.org/x/text	v0.40.0
golang.org/x/time	v0.15.0
gonum.org/v1/gonum	v0.17.0
google.golang.org/api/internal/kokoro/discogen	
google.golang.org/genproto	v0.0.0-20260319201613-d00831a3d3e7
google.golang.org/genproto/googleapis/api	v0.0.0-20260630182238-925bb5da69e7
google.golang.org/genproto/googleapis/bytestream	v0.0.0-20260706201446-f0a921348800
google.golang.org/genproto/googleapis/rpc	v0.0.0-20260706201446-f0a921348800
google.golang.org/grpc	v1.82.0
google.golang.org/protobuf	v1.36.11
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/warnings.v0	v0.1.2
gopkg.in/yaml.v3	v3.0.1
