github.com/lingrino/vaku/v2
cloud.google.com/go/auth v0.18.2
cloud.google.com/go/auth/oauth2adapt v0.2.8
cloud.google.com/go/cloudsqlconn v1.20.2
cloud.google.com/go/compute/metadata v0.9.0
github.com/AdaLogics/go-fuzz-headers v0.0.0-20240806141605-e8a1dd7889d6
github.com/Azure/go-ansiterm v0.0.0-20250102033503-faa5f7b0171c
github.com/Azure/go-ntlmssp v0.0.0-20221128193559-754e69321358
github.com/Masterminds/goutils v1.1.1
github.com/Masterminds/semver/v3 v3.1.1
github.com/Masterminds/sprig/v3 v3.2.1
github.com/Microsoft/go-winio v0.6.2
github.com/armon/go-metrics v0.4.1
github.com/armon/go-radix v1.0.0
github.com/beorn7/perks v1.0.1
github.com/bgentry/speakeasy v0.1.0
github.com/cenkalti/backoff/v4 v4.3.0
github.com/cespare/xxhash/v2 v2.3.0
github.com/containerd/errdefs v1.0.0
github.com/containerd/errdefs/pkg v0.3.0
github.com/containerd/log v0.1.0
github.com/containerd/typeurl/v2 v2.2.0
github.com/cpuguy83/go-md2man/v2 v2.0.6
github.com/creack/pty v1.1.24
github.com/davecgh/go-spew v1.1.2-0.20180830191138-d8f796af33cc
github.com/distribution/reference v0.6.0
github.com/docker/go-connections v0.6.0
github.com/docker/go-units v0.5.0
github.com/evanphx/json-patch/v5 v5.6.0
github.com/fatih/color v1.19.0
github.com/fatih/structs v1.1.0
github.com/felixge/httpsnoop v1.0.4
github.com/frankban/quicktest v1.14.6
github.com/go-asn1-ber/asn1-ber v1.5.7
github.com/go-jose/go-jose/v4 v4.1.4
github.com/go-ldap/ldap/v3 v3.4.10
github.com/go-logr/logr v1.4.3
github.com/go-logr/stdr v1.2.2
github.com/go-test/deep v1.1.1
github.com/gogo/protobuf v1.3.2
github.com/golang/groupcache v0.0.0-20241129210726-2c02b8208cf8
github.com/golang/protobuf v1.5.4
github.com/golang/snappy v0.0.4
github.com/google/certificate-transparency-go v1.3.1
github.com/google/go-cmp v0.7.0
github.com/google/s2a-go v0.1.9
github.com/google/uuid v1.6.0
github.com/googleapis/enterprise-certificate-proxy v0.3.14
github.com/googleapis/gax-go/v2 v2.18.0
