github.com/bradfitz/gomemcache	v0.0.0-20180710155616-bc664df96737
github.com/fsnotify/fsnotify	v1.4.9
github.com/go-redis/redis	v6.14.0%2Bincompatible
github.com/golang/protobuf	v1.4.2
github.com/google/go-cmp	v0.4.0
github.com/hpcloud/tail	v1.0.0
github.com/nxadm/tail	v1.4.4
github.com/onsi/ginkgo	v1.12.2
github.com/onsi/gomega	v1.10.1
golang.org/x/crypto	v0.0.0-20190308221718-c2843e01d9a2
golang.org/x/net	v0.0.0-20200520004742-59133d7f0dd7
golang.org/x/sync	v0.0.0-20180314180146-1d60e4601c6f
golang.org/x/sys	v0.0.0-20200519105757-fe76b779f299
golang.org/x/text	v0.3.2
golang.org/x/tools	v0.0.0-20180917221912-90fa682c2a6e
golang.org/x/xerrors	v0.0.0-20191204190536-9bdfabe68543
google.golang.org/protobuf	v1.23.0
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/fsnotify.v1	v1.4.7
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.3.0
