cloud.google.com/go/auth	v0.15.0
cloud.google.com/go/auth/oauth2adapt	v0.2.8
cloud.google.com/go/compute/metadata	v0.9.0
dario.cat/mergo	v1.0.1
github.com/Azure/azure-sdk-for-go/sdk/azcore	v1.17.0
github.com/Azure/azure-sdk-for-go/sdk/azidentity	v1.8.2
github.com/Azure/azure-sdk-for-go/sdk/azidentity/cache	v0.3.2
github.com/Azure/azure-sdk-for-go/sdk/internal	v1.10.0
github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/compute/armcompute/v5	v5.7.0
github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/network/armnetwork/v4	v4.3.0
github.com/AzureAD/microsoft-authentication-extensions-for-go/cache	v0.1.1
github.com/AzureAD/microsoft-authentication-library-for-go	v1.3.3
github.com/Code-Hex/go-generics-cache	v1.5.1
github.com/DataDog/sketches-go	v1.4.7
github.com/HdrHistogram/hdrhistogram-go	v1.1.2
github.com/Masterminds/goutils	v1.1.1
github.com/Masterminds/semver/v3	v3.3.1
github.com/Masterminds/sprig/v3	v3.3.0
github.com/Workiva/go-datastructures	v1.1.5
github.com/alecthomas/units	v0.0.0-20240927000941-0f3dac36c52b
github.com/alicebob/gopher-json	v0.0.0-20230218143504-906a9b012302
github.com/alicebob/miniredis/v2	v2.34.0
github.com/andybalholm/brotli	v1.1.1
github.com/armon/go-metrics	v0.4.1
github.com/asaskevich/govalidator	v0.0.0-20230301143203-a9d515a09cc2
github.com/aws/aws-sdk-go	v1.55.6
github.com/axiomhq/hyperloglog	v0.2.5
github.com/bboreham/go-loser	v0.0.0-20230920113527-fcc2c21820a3
github.com/beorn7/perks	v1.0.1
github.com/blind-oracle/go-common	v1.0.7
github.com/bsm/ginkgo/v2	v2.12.0
github.com/bsm/gomega	v1.27.10
github.com/c2h5oh/datasize	v0.0.0-20231215233829-aa82cc1e6500
github.com/caarlos0/env/v8	v8.0.0
github.com/cespare/xxhash/v2	v2.3.0
github.com/cncf/xds/go	v0.0.0-20251210132809-ee656c7534f5
github.com/coreos/go-semver	v0.3.1
github.com/coreos/go-systemd/v22	v22.5.0
github.com/d4l3k/messagediff	v1.2.1
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/dennwc/varint	v1.0.0
github.com/dgryski/go-metro	v0.0.0-20180109044635-280f6062b5bc
github.com/dgryski/go-rendezvous	v0.0.0-20200823014737-9f7001d12a5f
github.com/digitalocean/godo	v1.132.0
github.com/distribution/reference	v0.6.0
github.com/docker/docker	v28.0.4%2Bincompatible
github.com/docker/go-connections	v0.5.0
github.com/docker/go-units	v0.5.0
github.com/dustin/go-humanize	v1.0.1
github.com/dyson/certman	v0.3.0
github.com/ebitengine/purego	v0.8.2
github.com/edsrzf/mmap-go	v1.2.0
github.com/efficientgo/core	v1.0.0-rc.3
github.com/emicklei/go-restful/v3	v3.11.0
github.com/envoyproxy/go-control-plane/envoy	v1.36.0
github.com/envoyproxy/protoc-gen-validate	v1.3.0
github.com/facette/natsort	v0.0.0-20181210072756-2cd4dd1e2dcb
github.com/fatih/color	v1.18.0
github.com/felixge/httpsnoop	v1.0.4
github.com/frankban/quicktest	v1.14.6
github.com/fsnotify/fsnotify	v1.8.0
github.com/fxamacker/cbor/v2	v2.7.0
github.com/go-kit/log	v0.2.1
github.com/go-logfmt/logfmt	v0.6.0
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-ole/go-ole	v1.3.0
github.com/go-openapi/analysis	v0.23.0
github.com/go-openapi/errors	v0.22.0
github.com/go-openapi/jsonpointer	v0.21.0
github.com/go-openapi/jsonreference	v0.21.0
github.com/go-openapi/loads	v0.22.0
github.com/go-openapi/spec	v0.21.0
github.com/go-openapi/strfmt	v0.23.0
github.com/go-openapi/swag	v0.23.0
github.com/go-openapi/validate	v0.24.0
github.com/go-redis/redis	v6.15.9%2Bincompatible
github.com/go-redis/redis/v7	v7.4.1
github.com/go-redis/redis/v8	v8.11.5
github.com/go-redsync/redsync/v4	v4.13.0
github.com/go-resty/resty/v2	v2.16.3
github.com/go-viper/mapstructure/v2	v2.2.1
github.com/go-zookeeper/zk	v1.0.4
github.com/gogo/googleapis	v1.4.1
github.com/gogo/protobuf	v1.3.2
github.com/gogo/status	v1.1.1
github.com/golang-jwt/jwt/v5	v5.2.2
github.com/golang/protobuf	v1.5.4
github.com/golang/snappy	v1.0.0
github.com/gomodule/redigo	v1.8.9
github.com/google/btree	v1.1.3
github.com/google/gnostic-models	v0.6.8
github.com/google/go-cmp	v0.7.0
github.com/google/go-querystring	v1.1.0
github.com/google/gofuzz	v1.2.0
github.com/google/s2a-go	v0.1.9
github.com/google/uuid	v1.6.0
github.com/googleapis/enterprise-certificate-proxy	v0.3.6
github.com/googleapis/gax-go/v2	v2.14.1
github.com/gophercloud/gophercloud/v2	v2.4.0
github.com/gorilla/mux	v1.8.1
github.com/gorilla/websocket	v1.5.3
github.com/grafana/dskit	v0.0.0-20250317084829-9cdd36a91f10
github.com/grafana/gomemcache	v0.0.0-20250228145437-da7b95fd2ac1
github.com/grafana/jsonparser	v0.0.0-20241004153430-023329977675
github.com/grafana/loki/pkg/push	v0.0.0-20240924133635-758364c7775f
github.com/grafana/loki/v3	v3.5.4
github.com/grafana/pyroscope-go/godeltaprof	v0.1.8
github.com/grafana/regexp	v0.0.0-20240518133315-a468a5bfb3bc
github.com/grpc-ecosystem/go-grpc-middleware/v2	v2.3.1
github.com/grpc-ecosystem/grpc-opentracing	v0.0.0-20180507213350-8e809c8a8645
github.com/hashicorp/consul/api	v1.31.2
github.com/hashicorp/consul/sdk	v0.16.1
github.com/hashicorp/cronexpr	v1.1.2
github.com/hashicorp/errwrap	v1.1.0
github.com/hashicorp/go-cleanhttp	v0.5.2
github.com/hashicorp/go-hclog	v1.6.3
github.com/hashicorp/go-immutable-radix	v1.3.1
github.com/hashicorp/go-metrics	v0.5.4
