dmitri.shuralyov.com/gpu/mtl	v0.0.0-20190408044501-666a987793e9
gioui.org	v0.0.0-20210308172011-57750fc8a0a6
github.com/BurntSushi/xgb	v0.0.0-20160522181843-27f122750802
github.com/adlane/exec	v0.0.0-20171006170040-bf2ccecd9b4d
github.com/ajstarks/svgo	v0.0.0-20180226025133-644b8db467af
github.com/akavel/rsrc	v0.10.2
github.com/asaskevich/govalidator	v0.0.0-20180315120708-ccb8e960c48f
github.com/boombuler/barcode	v1.0.0
github.com/cheekybits/is	v0.0.0-20150225183255-68e9c0620927
github.com/cheikhshift/db	v0.5.0
github.com/cheikhshift/gos	v0.6.2
github.com/davecgh/go-spew	v1.1.0
github.com/dchest/jsmin	v0.0.0-20160823214000-faeced883947
github.com/dustin/go-humanize	v1.0.0
github.com/elazarl/go-bindata-assetfs	v1.0.0
github.com/fatih/color	v1.7.0
github.com/fogleman/gg	v1.3.0
github.com/fsnotify/fsnotify	v1.4.9
github.com/gabriel-vasile/mimetype	v1.1.2
github.com/go-fonts/dejavu	v0.1.0
github.com/go-fonts/latin-modern	v0.2.0
github.com/go-fonts/liberation	v0.1.1
github.com/go-fonts/stix	v0.1.0
github.com/go-gl/glfw	v0.0.0-20190409004039-e6da0acd62b1
github.com/go-latex/latex	v0.0.0-20210118124228-b3d85cf34e07
github.com/gogo/protobuf	v1.3.2
github.com/golang/freetype	v0.0.0-20170609003504-e2365dfdc4a0
github.com/gorilla/mux	v1.7.1
github.com/gorilla/schema	v1.2.0
github.com/gorilla/securecookie	v1.1.1
github.com/gorilla/sessions	v1.2.1
github.com/gorilla/websocket	v1.5.0
github.com/gotpl/gtfmt	v0.0.0-20171104020302-2f7d48a8df19
github.com/josephspurrier/goversioninfo	v1.2.0
github.com/jung-kurt/gofpdf	v1.0.3-0.20190309125859-24315acbbda5
github.com/kisielk/errcheck	v1.5.0
github.com/kisielk/gotool	v1.0.0
github.com/kr/pretty	v0.2.1
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.1.0
github.com/krolaw/zipstream	v0.0.0-20180621105154-0a2661891f94
github.com/matryer/try	v0.0.0-20161228173917-9ac251b645a2
github.com/mattn/go-colorable	v0.0.9
github.com/mattn/go-isatty	v0.0.4
github.com/ncruces/go-exiftool	v0.2.1
github.com/ncruces/go-fetch	v0.0.0-20201125022143-c61f8921eb46
github.com/ncruces/go-fs	v0.2.1
github.com/ncruces/go-image	v0.1.0
github.com/ncruces/rethinkraw	v0.7.0
github.com/ncruces/zenity	v0.7.7
github.com/opentracing/basictracer-go	v1.0.0
github.com/opentracing/opentracing-go	v1.1.0
github.com/phpdave11/gofpdf	v1.4.2
github.com/phpdave11/gofpdi	v1.0.12
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/randall77/makefat	v0.0.0-20210315173500-7ddd0e42c844
github.com/ruudk/golang-pdf417	v0.0.0-20181029194003-1af4ab5afa58
github.com/shurcooL/httpfs	v0.0.0-20181222201310-74dc9339e414
github.com/shurcooL/vfsgen	v0.0.0-20181202132449-6a9ea43bcacd
github.com/spf13/pflag	v1.0.5
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.7.0
github.com/tdewolff/minify/v2	v2.9.13
github.com/tdewolff/parse/v2	v2.5.10
github.com/tdewolff/test	v1.0.6
github.com/tj/go-spin	v1.1.0
github.com/yuin/goldmark	v1.4.13
go.uber.org/goleak	v1.1.10
golang.org/x/crypto	v0.0.0-20210921155107-089bfa567519
golang.org/x/exp	v0.0.0-20191002040644-a1355ae1e2c3
golang.org/x/image	v0.0.0-20210607152325-775e3b0c77b9
golang.org/x/lint	v0.0.0-20201208152925-83fdc39ff7b5
golang.org/x/mobile	v0.0.0-20190719004257-d2bd2a29d028
golang.org/x/mod	v0.6.0-dev.0.20220419223038-86c51ed26bb4
golang.org/x/net	v0.0.0-20220722155237-a158d28d115b
golang.org/x/sync	v0.0.0-20220722155255-886fb9371eb4
golang.org/x/sys	v0.0.0-20220722155257-8c9f86f7a55f
golang.org/x/term	v0.0.0-20201126162022-7de9c90e9dd1
golang.org/x/text	v0.3.7
golang.org/x/tools	v0.1.12
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
gonum.org/v1/gonum	v0.9.1
gonum.org/v1/netlib	v0.0.0-20190313105609-8cb42192e0e0
gonum.org/v1/plot	v0.9.0
gopkg.in/check.v1	v1.0.0-20180628173108-788fd7840127
gopkg.in/mgo.v2	v2.0.0-20190816093944-a6b53ec6cb22
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.0-20200313102051-9f266ea9e77c
rsc.io/pdf	v0.1.1
sourcegraph.com/sourcegraph/appdash	v0.0.0-20190107175209-d9ea5c54f7dc
sourcegraph.com/sourcegraph/appdash-data	v0.0.0-20151005221446-73f23eafcf67
