github.com/atotto/clipboard	v0.1.4
github.com/aymanbagabas/go-osc52/v2	v2.0.1
github.com/charmbracelet/bubbles	v0.16.1
github.com/charmbracelet/bubbletea	v0.24.2
github.com/charmbracelet/harmonica	v0.2.0
github.com/charmbracelet/lipgloss	v0.7.1
github.com/containerd/console	v1.0.4-0.20230313162750-1ae8d489ac81
github.com/creack/pty	v1.1.18
github.com/davecgh/go-spew	v1.1.0
github.com/dustin/go-humanize	v1.0.1
github.com/frankban/quicktest	v1.14.5
github.com/google/go-cmp	v0.5.9
github.com/google/renameio/v2	v2.0.0
github.com/google/shlex	v0.0.0-20191202100458-e7afc7fbc510
github.com/hashicorp/errwrap	v1.1.0
github.com/hashicorp/go-multierror	v1.1.1
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/kylelemons/godebug	v1.1.0
github.com/lucasb-eyer/go-colorful	v1.2.0
github.com/mattn/go-isatty	v0.0.18
github.com/mattn/go-localereader	v0.0.1
github.com/mattn/go-runewidth	v0.0.14
github.com/muesli/ansi	v0.0.0-20211018074035-2e021307bc4b
github.com/muesli/cancelreader	v0.2.2
github.com/muesli/reflow	v0.3.0
github.com/muesli/termenv	v0.15.1
github.com/pkg/diff	v0.0.0-20210226163009-20ebb0f2a09e
github.com/pkg/errors	v0.8.1
github.com/pmezard/go-difflib	v1.0.0
github.com/posener/autogen	v0.0.2
github.com/posener/complete/v2	v2.0.1-alpha.13
github.com/posener/script	v1.1.5
github.com/rivo/uniseg	v0.2.0
github.com/rogpeppe/go-internal	v1.10.1-0.20230524175051-ec119421bb97
github.com/sahilm/fuzzy	v0.1.0
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.4.0
golang.org/x/mod	v0.6.0-dev.0.20220419223038-86c51ed26bb4
golang.org/x/sync	v0.2.0
golang.org/x/sys	v0.8.0
golang.org/x/term	v0.8.0
golang.org/x/text	v0.3.8
golang.org/x/tools	v0.1.12
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v2	v2.2.2
mvdan.cc/editorconfig	v0.2.0
mvdan.cc/sh/v3	v3.7.0
