github.com/DataDog/zstd v1.4.5
github.com/HdrHistogram/hdrhistogram-go v1.1.2
github.com/VictoriaMetrics/metrics v1.18.1
github.com/armon/go-metrics v0.0.0-20180917152333-f0300d1749da
github.com/cespare/xxhash/v2 v2.1.2
github.com/cockroachdb/errors v1.9.0
github.com/cockroachdb/logtags v0.0.0-20211118104740-dabe8e521a4f
github.com/cockroachdb/pebble v0.0.0-20221207173255-0f086d933dac
github.com/cockroachdb/redact v1.1.3
github.com/getsentry/sentry-go v0.12.0
github.com/gogo/protobuf v1.3.2
github.com/golang/snappy v0.0.4
github.com/google/btree v1.0.0
github.com/google/uuid v1.3.0
github.com/hashicorp/errwrap v1.0.0
github.com/hashicorp/go-immutable-radix v1.0.0
github.com/hashicorp/go-msgpack v0.5.3
github.com/hashicorp/go-multierror v1.0.0
github.com/hashicorp/go-sockaddr v1.0.0
github.com/hashicorp/golang-lru v0.5.1
github.com/hashicorp/memberlist v0.3.1
github.com/kr/pretty v0.3.0
github.com/kr/text v0.2.0
github.com/lni/goutils v1.4.0
github.com/lni/vfs v0.2.1-0.20220616104132-8852fd867376
github.com/miekg/dns v1.1.26
github.com/pierrec/lz4/v4 v4.1.14
github.com/pkg/errors v0.9.1
github.com/rogpeppe/go-internal v1.8.1
github.com/sean-/seed v0.0.0-20170313163322-e2103e2c3529
github.com/valyala/fastrand v1.1.0
github.com/valyala/histogram v1.2.0
golang.org/x/crypto v0.40.0
golang.org/x/exp v0.0.0-20200513190911-00229845015e
golang.org/x/net v0.41.0
golang.org/x/sys v0.34.0
