github.com/PuerkitoBio/goquery	v1.8.1
github.com/a-h/htmlformat	v0.0.0-20231108124658-5bd994fe268e
github.com/a-h/lexical	v0.0.53
github.com/a-h/parse	v0.0.0-20240121214402-3caf7543159a
github.com/a-h/pathvars	v0.0.12
github.com/a-h/protocol	v0.0.0-20230224160810-b4eec67c1c22
github.com/a-h/templ	v0.2.598
github.com/andybalholm/cascadia	v1.3.1
github.com/cenkalti/backoff/v4	v4.2.1
github.com/cli/browser	v1.2.0
github.com/davecgh/go-spew	v1.1.1
github.com/fatih/color	v1.16.0
github.com/fsnotify/fsnotify	v1.7.0
github.com/google/go-cmp	v0.6.0
github.com/invopop/yaml	v0.2.0
github.com/mattn/go-colorable	v0.1.13
github.com/mattn/go-isatty	v0.0.20
github.com/natefinch/atomic	v1.0.1
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/rs/cors	v1.8.3
github.com/segmentio/asm	v1.2.0
github.com/segmentio/encoding	v0.3.6
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.9.0
go.lsp.dev/jsonrpc2	v0.10.0
go.lsp.dev/pkg	v0.0.0-20210717090340-384b27a52fb2
go.lsp.dev/uri	v0.3.0
go.uber.org/atomic	v1.10.0
go.uber.org/multierr	v1.9.0
go.uber.org/zap	v1.24.0
golang.org/x/mod	v0.12.0
golang.org/x/net	v0.19.0
golang.org/x/sys	v0.15.0
golang.org/x/tools	v0.13.0
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
