github.com/BurntSushi/toml	v0.3.1
github.com/c9s/goprocinfo	v0.0.0-20170609001544-b34328d6e0cd
github.com/checkpoint-restore/go-criu/v5	v5.3.0
github.com/cilium/ebpf	v0.7.0
github.com/containerd/console	v1.0.3
github.com/containerd/containerd	v1.4.1
github.com/containerd/continuity	v0.0.0-20200928162600-f2cc35102c2a
github.com/coreos/go-systemd/v22	v22.3.2
github.com/cyphar/filepath-securejoin	v0.2.3
github.com/docker/docker	v20.10.0-beta1.0.20201113105859-b6bfff2a628f+incompatible
github.com/docker/go-connections	v0.4.0
github.com/docker/go-units	v0.4.0
github.com/fsouza/go-dockerclient	v1.7.0
github.com/gizak/termui	v2.3.1-0.20180817033724-8d4faad06196+incompatible
github.com/godbus/dbus/v5	v5.0.6
github.com/gogo/protobuf	v1.3.1
github.com/hako/durafmt	v0.0.0-20210608085754-5c1018a4e16b
github.com/jgautheron/codename-generator	v0.0.0-20150829203204-16d037c7cc3c
github.com/maruel/panicparse	v1.6.1
github.com/mattn/go-runewidth	v0.0.2
github.com/mitchellh/go-wordwrap	v0.0.0-20150314170334-ad45545899c7
github.com/moby/sys/mount	v0.2.0
github.com/moby/sys/mountinfo	v0.5.0
github.com/moby/term	v0.0.0-20201110203204-bea5bbe245bf
github.com/morikuni/aec	v1.0.0
github.com/mrunalp/fileutils	v0.5.0
github.com/nsf/termbox-go	v0.0.0-20190121233118-02980233997d
github.com/nu7hatch/gouuid	v0.0.0-20131221200532-179d4d0c4d8d
github.com/op/go-logging	v0.0.0-20160211212156-b2cb9fa56473
github.com/opencontainers/go-digest	v1.0.0
github.com/opencontainers/image-spec	v1.0.1
github.com/opencontainers/runc	v1.1.0
github.com/opencontainers/runtime-spec	v1.0.3-0.20210326190908-1c3f411f0417
github.com/opencontainers/selinux	v1.10.0
github.com/pkg/browser	v0.0.0-20201207095918-0426ae3fba23
github.com/pkg/errors	v0.9.1
github.com/sirupsen/logrus	v1.8.1
github.com/syndtr/gocapability	v0.0.0-20200815063812-42c35b437635
github.com/vishvananda/netlink	v1.1.0
github.com/vishvananda/netns	v0.0.0-20191106174202-0a2b9b5464df
golang.org/x/sync	v0.0.0-20190423024810-112230192c58
golang.org/x/sys	v0.0.0-20211116061358-0a5406a5449c
google.golang.org/protobuf	v1.27.1
