dario.cat/mergo	v1.0.2
github.com/Azure/azure-sdk-for-go/sdk/azcore	v1.21.0
github.com/Azure/azure-sdk-for-go/sdk/azcore	v1.22.0
github.com/Azure/azure-sdk-for-go/sdk/azidentity	v1.13.1
github.com/Azure/azure-sdk-for-go/sdk/data/azcosmos	v1.5.0
github.com/Azure/azure-sdk-for-go/sdk/internal	v1.11.2
github.com/Azure/azure-sdk-for-go/sdk/internal	v1.12.0
github.com/Azure/azure-sdk-for-go/sdk/security/keyvault/azsecrets	v1.4.0
github.com/Azure/azure-sdk-for-go/sdk/security/keyvault/internal	v1.2.0
github.com/AzureAD/microsoft-authentication-library-for-go	v1.6.0
github.com/DefangLabs/secret-detector	v0.0.0-20250811234530-d4b4214cd679
github.com/acarl005/stripansi	v0.0.0-20180116102854-5a71ef0e047d
github.com/buger/goterm	v1.0.4
github.com/cenkalti/backoff/v4	v4.3.0
github.com/cenkalti/backoff/v5	v5.0.3
github.com/cespare/xxhash/v2	v2.3.0
github.com/clipperhouse/uax29/v2	v2.7.0
github.com/compose-spec/compose-go/v2	v2.12.1
github.com/containerd/console	v1.0.5
github.com/containerd/containerd/api	v1.11.1
github.com/containerd/containerd/v2	v2.2.5
github.com/containerd/continuity	v0.5.0
github.com/containerd/errdefs	v1.0.0
github.com/containerd/errdefs/pkg	v0.3.0
github.com/containerd/log	v0.1.0
github.com/containerd/platforms	v0.2.1
github.com/containerd/platforms	v1.0.0-rc.1
github.com/containerd/platforms	v1.0.0-rc.4
github.com/containerd/ttrpc	v1.2.8
github.com/containerd/typeurl/v2	v2.3.0
github.com/cpuguy83/dockercfg	v0.3.2
github.com/davecgh/go-spew	v1.1.1
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/dexidp/dex/api/v2	v2.4.0
github.com/distribution/reference	v0.6.0
github.com/docker/buildx	v0.35.0
github.com/docker/cli	v29.6.0%2Bincompatible
github.com/docker/compose/v5	v5.2.0
github.com/docker/docker	v28.5.2%2Bincompatible
github.com/docker/docker-credential-helpers	v0.9.8
github.com/docker/go-connections	v0.6.0
github.com/docker/go-connections	v0.7.0
github.com/docker/go-units	v0.5.0
