github.com/akutz/memconn	v0.1.0
github.com/alecthomas/assert/v2	v2.6.0
github.com/alecthomas/repr	v0.4.0
github.com/alitto/pond	v1.9.2
github.com/apache/thrift	v0.23.0
github.com/bsm/ginkgo/v2	v2.12.0
github.com/bsm/gomega	v1.27.10
github.com/cenk/backoff	v2.2.1%2Bincompatible
github.com/cenkalti/backoff	v2.2.1%2Bincompatible
github.com/cespare/xxhash/v2	v2.3.0
github.com/davecgh/go-spew	v1.1.1
github.com/dgryski/go-jump	v0.0.0-20211018200510-ba001c3ffce0
github.com/dgryski/go-rendezvous	v0.0.0-20200823014737-9f7001d12a5f
github.com/edwingeng/doublejump	v1.0.1
github.com/facebookgo/clock	v0.0.0-20150410010913-600d898af40a
github.com/fatih/camelcase	v1.0.0
github.com/fatih/color	v1.18.0
github.com/fatih/structtag	v1.2.0
github.com/fsnotify/fsnotify	v1.6.0
github.com/go-ping/ping	v1.2.0
github.com/go-redis/redis/v8	v8.11.5
github.com/go-redis/redis_rate/v10	v10.0.1
github.com/godzie44/go-uring	v0.0.0-20220926161041-69611e8b13d5
github.com/gogo/protobuf	v1.3.2
github.com/golang/snappy	v0.0.4
github.com/google/go-cmp	v0.6.0
github.com/google/uuid	v1.6.0
github.com/grandcat/zeroconf	v1.0.0
github.com/hashicorp/errwrap	v1.1.0
github.com/hashicorp/go-multierror	v1.1.1
github.com/hashicorp/golang-lru	v1.0.2
github.com/hexops/gotextdiff	v1.0.3
github.com/juju/ratelimit	v1.0.2
github.com/julienschmidt/httprouter	v1.3.0
github.com/kavu/go_reuseport	v1.5.0
github.com/klauspost/cpuid/v2	v2.2.9
github.com/klauspost/reedsolomon	v1.12.4
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/libp2p/go-sockaddr	v0.2.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/miekg/dns	v1.1.63
github.com/nxadm/tail	v1.4.8
github.com/onsi/ginkgo	v1.16.5
github.com/onsi/gomega	v1.36.2
github.com/peterbourgon/g2s	v0.0.0-20140925154142-ec76db4c1ac1
github.com/philhofer/fwd	v1.1.3-0.20240916144458-20a13a1f6b7c
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/quic-go/quic-go	v0.59.1
github.com/rcrowley/go-metrics	v0.0.0-20201227073835-cf1acfcdf475
github.com/redis/go-redis/v9	v9.7.3
github.com/rogpeppe/go-internal	v1.10.0
github.com/rpcxio/libkv	v0.5.1
github.com/rs/cors	v1.11.1
github.com/rubyist/circuitbreaker	v2.2.1%2Bincompatible
github.com/smallnest/gordma	v0.3.0
github.com/smallnest/quick	v0.2.0
github.com/soheilhy/cmux	v0.1.5
github.com/stretchr/testify	v1.11.1
github.com/templexxx/cpufeat	v0.0.0-20180724012125-cef66df7f161
github.com/templexxx/xor	v0.0.0-20191217153810-f85b25db303b
github.com/tinylib/msgp	v1.2.5
github.com/tjfoc/gmsm	v1.4.1
github.com/twpayne/go-jsonstruct/v3	v3.1.0
github.com/valyala/fastrand	v1.1.0
github.com/vmihailenco/msgpack/v5	v5.4.1
github.com/vmihailenco/tagparser/v2	v2.0.0
github.com/xtaci/kcp-go	v5.4.20%2Bincompatible
github.com/xtaci/lossyconn	v0.0.0-20200209145036-adba10fffc37
golang.org/x/crypto	v0.51.0
golang.org/x/mod	v0.35.0
golang.org/x/net	v0.55.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.45.0
golang.org/x/text	v0.37.0
golang.org/x/tools	v0.44.0
google.golang.org/protobuf	v1.36.4
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v3	v3.0.1
