github.com/alecaivazis/survey/v2	v2.3.7
github.com/cpuguy83/go-md2man/v2	v2.0.3
github.com/creack/pty	v1.1.17
github.com/davecgh/go-spew	v1.1.1
github.com/duke-git/lancet/v2	v2.3.0
github.com/fsnotify/fsnotify	v1.7.0
github.com/google/go-cmp	v0.5.8
github.com/hinshun/vt10x	v0.0.0-20220119200601-820417d04eec
github.com/inconshreveable/mousetrap	v1.1.0
github.com/kballard/go-shellquote	v0.0.0-20180428030007-95032a82bc51
github.com/mattn/go-colorable	v0.1.2
github.com/mattn/go-isatty	v0.0.8
github.com/mgutz/ansi	v0.0.0-20170206155736-9520e82c474b
github.com/netflix/go-expect	v0.0.0-20220104043353-73e0943537d2
github.com/pmezard/go-difflib	v1.0.0
github.com/russross/blackfriday/v2	v2.1.0
github.com/spf13/cobra	v1.8.0
github.com/spf13/pflag	v1.0.5
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.6.1
github.com/yuin/goldmark	v1.4.13
golang.org/x/crypto	v0.1.0
golang.org/x/exp	v0.0.0-20221208152030-732eee02a75a
golang.org/x/mod	v0.8.0
golang.org/x/net	v0.6.0
golang.org/x/sync	v0.1.0
golang.org/x/sys	v0.5.0
golang.org/x/term	v0.5.0
golang.org/x/text	v0.9.0
golang.org/x/tools	v0.6.0
golang.org/x/xerrors	v0.0.0-20190717185122-a985d3407aa7
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
