dmitri.shuralyov.com/gpu/mtl	v0.0.0-20221208032759-85de2813cf6b
github.com/burntsushi/xgb	v0.0.0-20210121224620-deaf085860bc
github.com/burntsushi/xgbutil	v0.0.0-20190907113008-ad855c713046
github.com/disintegration/gift	v1.2.1
github.com/eaburns/bit	v0.0.0-20131029213740-7bd5cd37375d
github.com/eaburns/flac	v0.0.0-20171003200620-9a6fb92396d1
github.com/flopp/go-findfont	v0.0.0-20201114153133-e7393a00c15b
github.com/go-gl/glfw/v3.3/glfw	v0.0.0-20220320163800-277f93cfa958
github.com/golang/freetype	v0.0.0-20170609003504-e2365dfdc4a0
github.com/hajimehoshi/go-mp3	v0.3.2
github.com/jfreymuth/pulse	v0.1.0
github.com/oakmound/alsa	v0.0.2
github.com/oakmound/libudev	v0.2.1
github.com/oakmound/oak/examples/text-demo	
github.com/oakmound/w32	v2.1.0%2Bincompatible
github.com/oov/directsound-go	v0.0.0-20141101201356-e53e59c700bf
golang.org/x/exp	v0.0.0-20220414153411-bcd21879b8fd
golang.org/x/exp/shiny	v0.0.0-20220518171630-0b5c67f07fdf
golang.org/x/image	v0.21.0
golang.org/x/mobile	v0.0.0-20220325161704-447654d348e3
golang.org/x/sync	v0.1.0
golang.org/x/sys	v0.29.0
golang.org/x/sys	v0.5.0
