github.com/cespare/xxhash/v2	v2.1.2
github.com/dgryski/go-rendezvous	v0.0.0-20200823014737-9f7001d12a5f
github.com/edwingeng/slog	v0.0.0-20221027170832-482f0dfb6247
github.com/go-redis/redis	v6.15.9%2Bincompatible
github.com/go-redis/redis/v8	v8.11.5
github.com/go-sql-driver/mysql	v1.6.0
github.com/golang/snappy	v0.0.1
github.com/klauspost/compress	v1.13.6
github.com/montanaflynn/stats	v0.0.0-20171201202039-1bf9dbcd8cbe
github.com/pkg/errors	v0.9.1
github.com/xdg-go/pbkdf2	v1.0.0
github.com/xdg-go/scram	v1.1.1
github.com/xdg-go/stringprep	v1.0.3
github.com/youmark/pkcs8	v0.0.0-20181117223130-1be2e3e5546d
go.mongodb.org/mongo-driver	v1.10.2
go.uber.org/atomic	v1.10.0
go.uber.org/multierr	v1.8.0
go.uber.org/zap	v1.23.0
golang.org/x/crypto	v0.0.0-20220622213112-05595931fe9d
golang.org/x/sync	v0.0.0-20210220032951-036812b2e83c
golang.org/x/text	v0.7.0
