github.com/cristalhq/acmd	v0.12.0
github.com/go-critic/go-critic/tools	
github.com/go-toolsmith/astcast	v1.0.0
github.com/go-toolsmith/astcast	v1.1.0
github.com/go-toolsmith/astcopy	v1.1.0
github.com/go-toolsmith/astequal	v1.0.0
github.com/go-toolsmith/astequal	v1.2.0
github.com/go-toolsmith/astfmt	v1.1.0
github.com/go-toolsmith/astinfo	v0.0.0-20180906194353-9809ff7efb21
github.com/go-toolsmith/astp	v1.1.0
github.com/go-toolsmith/pkgload	v1.0.0
github.com/go-toolsmith/pkgload	v1.2.2
github.com/go-toolsmith/strparse	v1.0.0
github.com/go-toolsmith/strparse	v1.1.0
github.com/go-toolsmith/typep	v1.0.0
github.com/go-toolsmith/typep	v1.1.0
github.com/google/go-cmp	v0.7.0
github.com/kisielk/gotool	v1.0.0
github.com/mattn/goveralls	v0.0.11
github.com/quasilyte/go-consistent	v0.0.0-20220429160651-4e46040fbc82
github.com/quasilyte/go-ruleguard	v0.4.5
github.com/quasilyte/go-ruleguard/dsl	v0.3.23
github.com/quasilyte/gogrep	v0.5.0
github.com/quasilyte/regex/syntax	v0.0.0-20210819130434-b3f0c404a727
github.com/quasilyte/stdinfo	v0.0.0-20220114132959-f7386bf02567
github.com/yuin/goldmark	v1.4.1
golang.org/x/crypto	v0.0.0-20210921155107-089bfa567519
golang.org/x/exp/typeparams	v0.0.0-20251023183803-a4bb9ffd2546
golang.org/x/mod	v0.29.0
golang.org/x/mod	v0.6.0-dev.0.20220106191415-9b9b3d81d5e3
golang.org/x/net	v0.0.0-20211015210444-4f30a5c0130f
golang.org/x/sync	v0.0.0-20210220032951-036812b2e83c
golang.org/x/sync	v0.17.0
golang.org/x/sys	v0.0.0-20211019181941-9d821ace8654
golang.org/x/term	v0.0.0-20201126162022-7de9c90e9dd1
golang.org/x/text	v0.3.7
golang.org/x/tools	v0.1.10
golang.org/x/tools	v0.38.0
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
