github.com/andybalholm/brotli	v1.0.4
github.com/docker/distribution	v2.7.1%2Bincompatible
github.com/docker/docker	v24.0.7%2Bincompatible
github.com/docker/go-connections	v0.4.0
github.com/docker/go-units	v0.4.0
github.com/dsnet/compress	v0.0.1
github.com/dustin/go-humanize	v1.0.0
github.com/fsnotify/fsnotify	v1.4.9
github.com/gogo/protobuf	v1.2.1
github.com/golang/glog	v1.1.0
github.com/golang/protobuf	v1.5.3
github.com/golang/snappy	v0.0.4
github.com/google/go-cmp	v0.5.9
github.com/google/uuid	v1.3.0
github.com/gorilla/mux	v1.8.0
github.com/hashicorp/hcl	v1.0.0
github.com/klauspost/compress	v1.15.9
github.com/klauspost/pgzip	v1.2.5
github.com/kylelemons/godebug	v1.1.0
github.com/magiconair/properties	v1.8.4
github.com/mholt/archiver/v3	v3.5.0
github.com/mitchellh/go-homedir	v1.1.0
github.com/mitchellh/mapstructure	v1.3.3
github.com/moby/moby	v24.0.6%2Bincompatible
github.com/nwaples/rardecode	v1.1.0
github.com/openconfig/gnmi	v0.0.0-20220503232738-6eb133c65a13
github.com/openconfig/goyang	v1.0.0
github.com/openconfig/ygot	v0.20.0
github.com/opencontainers/go-digest	v1.0.0
github.com/opencontainers/image-spec	v1.0.2
github.com/pelletier/go-toml	v1.8.1
github.com/pierrec/lz4/v4	v4.1.15
github.com/pkg/errors	v0.9.1
github.com/spf13/afero	v1.9.2
github.com/spf13/cast	v1.3.1
github.com/spf13/cobra	v1.1.1
github.com/spf13/jwalterweatherman	v1.1.0
github.com/spf13/pflag	v1.0.5
github.com/spf13/viper	v1.7.1
github.com/subosito/gotenv	v1.2.0
github.com/ulikunitz/xz	v0.5.8
github.com/xi2/xz	v0.0.0-20171230120015-48954b6210f8
golang.org/x/net	v0.17.0
golang.org/x/sys	v0.13.0
golang.org/x/text	v0.13.0
google.golang.org/genproto	v0.0.0-20230410155749-daa745c078e1
google.golang.org/grpc	v1.56.3
google.golang.org/protobuf	v1.30.0
gopkg.in/ini.v1	v1.62.0
gopkg.in/yaml.v2	v2.3.0
