github.com/DataDog/zstd	v1.4.5
github.com/alecthomas/chroma/v2	v2.26.1
github.com/bendory/conway-hebrew-calendar	v0.0.0-20210829020739-dcc34210ce9b
github.com/beorn7/perks	v1.0.1
github.com/bits-and-blooms/bitset	v1.24.4
github.com/bmatsuo/lmdb-go	v1.8.0
github.com/btcsuite/btcd/btcec/v2	v2.5.0
github.com/btcsuite/btcd/btcutil	v1.2.0
github.com/cenkalti/backoff/v5	v5.0.3
github.com/cespare/xxhash/v2	v2.3.0
github.com/cockroachdb/apd/v3	v3.2.3
github.com/cockroachdb/errors	v1.11.3
github.com/cockroachdb/fifo	v0.0.0-20240606204812-0bbfbd93a7ce
github.com/cockroachdb/logtags	v0.0.0-20230118201751-21c54148d20b
github.com/cockroachdb/pebble	v1.1.5
github.com/cockroachdb/redact	v1.1.5
github.com/cockroachdb/tokenbucket	v0.0.0-20230807174530-cc333fc44b06
github.com/consensys/gnark-crypto	v0.20.1
github.com/cosmos/gogoproto	v1.7.0
github.com/cosmos/ics23/go	v0.11.0
github.com/cosmos/ledger-cosmos-go	v1.0.0
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/decred/dcrd/dcrec/secp256k1/v4	v4.4.1
github.com/dgraph-io/ristretto/v2	v2.4.0
github.com/dlclark/regexp2/v2	v2.1.1
github.com/dustin/go-humanize	v1.0.1
github.com/emicklei/dot	v1.11.0
github.com/erigontech/mdbx-go	v0.40.1
github.com/getsentry/sentry-go	v0.35.0
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/gofrs/flock	v0.13.0
github.com/gogo/protobuf	v1.3.2
github.com/golang/mock	v1.6.0
github.com/golang/protobuf	v1.5.4
github.com/golang/snappy	v0.0.4
github.com/google/go-cmp	v0.7.0
github.com/google/uuid	v1.6.0
github.com/gorilla/websocket	v1.5.3
github.com/grpc-ecosystem/grpc-gateway/v2	v2.29.0
github.com/gtank/merlin	v0.1.1
github.com/hashicorp/golang-lru/v2	v2.0.7
github.com/ianlancetaylor/cgosymbolizer	v0.0.0-20241129212102-9c50ad6b591e
github.com/klauspost/compress	v1.18.0
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/libp2p/go-buffer-pool	v0.1.0
github.com/mimoo/StrobeGo	v0.0.0-20181016162300-f8f6d4d2b643
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822
github.com/pelletier/go-toml	v1.9.5
github.com/peterbourgon/ff/v3	v3.4.0
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/prometheus/client_golang	v1.23.0
github.com/prometheus/client_model	v0.6.2
github.com/prometheus/common	v0.65.0
github.com/prometheus/procfs	v0.16.1
github.com/rogpeppe/go-internal	v1.15.0
github.com/rs/cors	v1.11.1
github.com/rs/xid	v1.6.0
github.com/sig-0/insertion-queue	v0.0.0-20241004125609-6b3ca841346b
github.com/stretchr/testify	v1.11.1
github.com/syndtr/goleveldb	v1.0.1-0.20210819022825-2ae1ddf74ef7
github.com/valyala/bytebufferpool	v1.0.0
github.com/yuin/goldmark	v1.8.2
github.com/yuin/goldmark-highlighting/v2	v2.0.0-20230729083705-37449abec8cc
github.com/zondax/golem	v0.27.0
github.com/zondax/hid	v0.9.2
github.com/zondax/ledger-go	v1.0.1
go.etcd.io/bbolt	v1.5.0
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/otel	v1.44.0
go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetricgrpc	v1.44.0
go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetrichttp	v1.44.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace	v1.44.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp	v1.44.0
go.opentelemetry.io/otel/metric	v1.44.0
go.opentelemetry.io/otel/sdk	v1.44.0
go.opentelemetry.io/otel/sdk/metric	v1.44.0
go.opentelemetry.io/otel/trace	v1.44.0
go.opentelemetry.io/proto/otlp	v1.10.0
go.uber.org/multierr	v1.11.0
go.uber.org/zap	v1.28.0
go.uber.org/zap/exp	v0.3.0
golang.org/x/crypto	v0.53.0
golang.org/x/exp	v0.0.0-20231006140011-7918f672742d
golang.org/x/mod	v0.37.0
golang.org/x/net	v0.56.0
golang.org/x/sync	v0.21.0
golang.org/x/sys	v0.46.0
golang.org/x/term	v0.44.0
golang.org/x/text	v0.38.0
golang.org/x/tools	v0.47.0
google.golang.org/genproto/googleapis/api	v0.0.0-20260526163538-3dc84a4a5aaa
google.golang.org/genproto/googleapis/rpc	v0.0.0-20260526163538-3dc84a4a5aaa
google.golang.org/grpc	v1.81.1
google.golang.org/protobuf	v1.36.11
gopkg.in/yaml.v3	v3.0.1
