github.com/go-git/go-git/v6
github.com/Microsoft/go-winio v0.6.2
github.com/ProtonMail/go-crypto v1.4.1
github.com/anmitsu/go-shlex v0.0.0-20200514113438-38f4b401e2be
github.com/armon/go-socks5 v0.0.0-20160902184237-e75332964ef5
github.com/bwesterb/go-ristretto v1.2.3
github.com/cloudflare/circl v1.6.3
github.com/davecgh/go-spew v1.1.1
github.com/emirpasic/gods v1.18.1
github.com/gliderlabs/ssh v0.3.8
github.com/go-git/gcfg/v2 v2.0.2
github.com/go-git/go-billy/v6 v6.0.0-alpha.1.0.20260519112248-0095b064a6c6
github.com/go-git/go-git-fixtures/v6 v6.0.0-alpha.1
github.com/kevinburke/ssh_config v1.6.0
github.com/klauspost/cpuid/v2 v2.3.0
github.com/kr/pretty v0.1.0
github.com/kr/pty v1.1.1
github.com/kr/text v0.1.0
github.com/pjbgf/sha1cd v0.6.0
github.com/pmezard/go-difflib v1.0.0
github.com/sergi/go-diff v1.4.0
github.com/sirupsen/logrus v1.9.3
github.com/stretchr/objx v0.5.2
github.com/stretchr/testify v1.11.1
golang.org/x/crypto v0.53.0
golang.org/x/mod v0.36.0
golang.org/x/net v0.55.0
golang.org/x/sync v0.21.0
golang.org/x/sys v0.46.0
golang.org/x/term v0.44.0
golang.org/x/text v0.38.0
golang.org/x/tools v0.45.0
gopkg.in/check.v1 v1.0.0-20190902080502-41f04d3bba15
gopkg.in/yaml.v2 v2.4.0
gopkg.in/yaml.v3 v3.0.1
