go.keploy.io/server/v3
bitbucket.org/creachadair/shell v0.0.8
bitbucket.org/liamstask/goose v0.0.0-20150115234039-8488cc47d90c
cel.dev/expr v0.24.0
charm.land/glamour/v2 v2.0.0
charm.land/lipgloss/v2 v2.0.0
cloud.google.com/go v0.123.0
cloud.google.com/go/auth v0.16.5
cloud.google.com/go/auth/oauth2adapt v0.2.8
cloud.google.com/go/bigquery v1.3.0
cloud.google.com/go/compute v1.25.1
cloud.google.com/go/compute/metadata v0.9.0
cloud.google.com/go/datastore v1.0.0
cloud.google.com/go/iam v1.5.2
cloud.google.com/go/monitoring v1.24.2
cloud.google.com/go/pubsub v1.1.0
cloud.google.com/go/storage v1.57.0
cloud.google.com/go/trace v1.10.5
contrib.go.opencensus.io/exporter/stackdriver v0.13.14
dario.cat/mergo v1.0.1
dmitri.shuralyov.com/gpu/mtl v0.0.0-20190408044501-666a987793e9
facette.io/natsort v0.0.0-20181210072756-2cd4dd1e2dcb
filippo.io/edwards25519 v1.1.0
github.com/7sDream/geko v0.1.1
github.com/AdaLogics/go-fuzz-headers v0.0.0-20240806141605-e8a1dd7889d6
github.com/Azure/azure-pipeline-go v0.2.3
github.com/Azure/azure-storage-blob-go v0.15.0
github.com/Azure/go-ansiterm v0.0.0-20250102033503-faa5f7b0171c
github.com/BobuSumisu/aho-corasick v1.0.3
github.com/BurntSushi/toml v1.5.0
github.com/BurntSushi/xgb v0.0.0-20160522181843-27f122750802
github.com/CloudyKit/fastprinter v0.0.0-20200109182630-33d98a066a53
github.com/CloudyKit/jet/v6 v6.2.0
github.com/DATA-DOG/go-sqlmock v1.5.2
github.com/DataDog/appsec-internal-go v1.14.0
github.com/DataDog/datadog-agent/comp/core/tagger/origindetection v0.70.2
github.com/DataDog/datadog-agent/pkg/obfuscate v0.70.2
github.com/DataDog/datadog-agent/pkg/proto v0.70.2
github.com/DataDog/datadog-agent/pkg/remoteconfig/state v0.70.2
github.com/DataDog/datadog-agent/pkg/trace v0.70.2
github.com/DataDog/datadog-agent/pkg/util/log v0.70.2
github.com/DataDog/datadog-agent/pkg/util/scrubber v0.70.2
github.com/DataDog/datadog-agent/pkg/version v0.70.2
github.com/DataDog/datadog-go/v5 v5.8.0
github.com/DataDog/dd-trace-go/v2 v2.2.3
