github.com/davecgh/go-spew	v1.1.0
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.6.1
github.com/yuin/goldmark	v1.2.1
golang.org/x/crypto	v0.0.0-20200622213623-75b288015ac9
golang.org/x/mod	v0.3.0
golang.org/x/net	v0.0.0-20200822124328-c89045814202
golang.org/x/sync	v0.0.0-20200625203802-6e8e738ad208
golang.org/x/sys	v0.0.0-20200323222414-85ca7c5b95cd
golang.org/x/text	v0.3.0
golang.org/x/tools	v0.0.0-20201020161133-226fd2f889ca
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.0-20200313102051-9f266ea9e77c
