dario.cat/mergo	v1.0.1
github.com/Masterminds/goutils	v1.1.1
github.com/Masterminds/semver/v3	v3.4.0
github.com/Masterminds/sprig/v3	v3.3.0
github.com/anuraaga/go-modsecurity	v0.0.0-20220824035035-b9a4099778df
github.com/bmatcuk/doublestar/v4	v4.9.1
github.com/corazawaf/coraza-coreruleset	v0.0.0-20240226094324-415b1017abdc
github.com/corazawaf/coraza-coreruleset/v4	v4.25.0
github.com/corazawaf/coraza/v3/examples/http-server	
github.com/corazawaf/coraza/v3/testing/coreruleset	
github.com/corazawaf/libinjection-go	v0.3.2
github.com/coreruleset/albedo	v0.3.0
github.com/coreruleset/ftw-tests-schema/v2	v2.3.0
github.com/coreruleset/go-ftw/v2	v2.1.0
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/foxcpp/go-mockdns	v1.1.0
github.com/frankban/quicktest	v1.14.6
github.com/fsnotify/fsnotify	v1.9.0
github.com/go-viper/mapstructure/v2	v2.4.0
github.com/goccy/go-json	v0.10.5
github.com/goccy/go-yaml	v1.18.0
github.com/google/go-cmp	v0.7.0
github.com/google/uuid	v1.6.0
github.com/gotnospirit/makeplural	v0.0.0-20180622080156-a5f48d94d976
github.com/gotnospirit/messageformat	v0.0.0-20221001023931-dfe49f1eb092
github.com/huandu/xstrings	v1.5.0
github.com/icza/backscanner	v0.0.0-20241124160932-dff01ac50250
github.com/icza/mighty	v0.0.0-20180919140131-cfd07d671de6
github.com/jcchavezs/mergefs	v0.1.1
github.com/kaptinlin/go-i18n	v0.1.4
github.com/kaptinlin/jsonschema	v0.4.6
github.com/knadh/koanf/maps	v0.1.2
github.com/knadh/koanf/parsers/yaml	v1.1.0
github.com/knadh/koanf/providers/env/v2	v2.0.0
github.com/knadh/koanf/providers/file	v1.2.1
github.com/knadh/koanf/providers/rawbytes	v1.0.0
github.com/knadh/koanf/v2	v2.3.2
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/kyokomi/emoji/v2	v2.2.13
github.com/magefile/mage	v1.17.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/mccutchen/go-httpbin/v2	v2.18.3
github.com/miekg/dns	v1.1.57
github.com/mitchellh/copystructure	v1.2.0
github.com/mitchellh/reflectwalk	v1.0.2
github.com/pelletier/go-toml/v2	v2.2.4
github.com/petar-dambovaliev/aho-corasick	v0.0.0-20250424160509-463d218d4745
github.com/pmezard/go-difflib	v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/rogpeppe/go-internal	v1.13.1
github.com/rs/zerolog	v1.35.0
github.com/shopspring/decimal	v1.4.0
github.com/spf13/cast	v1.7.0
github.com/stretchr/testify	v1.11.1
github.com/tidwall/gjson	v1.18.0
github.com/tidwall/match	v1.1.1
github.com/tidwall/pretty	v1.2.1
github.com/valllabh/ocsf-schema-golang	v1.0.3
github.com/yargevad/filepathx	v1.0.0
go.yaml.in/yaml/v3	v3.0.4
go.yaml.in/yaml/v4	v4.0.0-rc.4
golang.org/x/crypto	v0.52.0
golang.org/x/exp	v0.0.0-20260212183809-81e46e3db34a
golang.org/x/mod	v0.35.0
golang.org/x/net	v0.55.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.45.0
golang.org/x/text	v0.37.0
golang.org/x/time	v0.14.0
golang.org/x/tools	v0.44.0
google.golang.org/protobuf	v1.36.11
gopkg.in/check.v1	v1.0.0-20190902080502-41f04d3bba15
gopkg.in/yaml.v3	v3.0.1
rsc.io/binaryregexp	v0.2.0
