c2sp.org/CCTV/age	v0.0.0-20251208015420-e9274a7bdbfd
cel.dev/expr	v0.25.2
cloud.google.com/go	v0.123.0
cloud.google.com/go/auth	v0.20.0
cloud.google.com/go/auth/oauth2adapt	v0.2.8
cloud.google.com/go/compute	v1.10.0
cloud.google.com/go/compute/metadata	v0.9.0
cloud.google.com/go/iam	v1.11.0
cloud.google.com/go/kms	v1.31.0
cloud.google.com/go/logging	v1.18.0
cloud.google.com/go/longrunning	v1.1.0
cloud.google.com/go/monitoring	v1.29.0
cloud.google.com/go/storage	v1.63.0
cloud.google.com/go/trace	v1.16.0
code.gitea.io/sdk/gitea	v0.25.1
cuelabs.dev/go/oci/ociregistry	v0.0.0-20260601085548-328ff8e2c943
cuelang.org/go	v0.17.1
dario.cat/mergo	v1.0.2
filippo.io/age	v1.0.0
filippo.io/age	v1.3.1
filippo.io/edwards25519	v1.2.0
filippo.io/hpke	v0.4.0
github.com/42wim/httpsig	v1.2.4
github.com/AdaLogics/go-fuzz-headers	v0.0.0-20240806141605-e8a1dd7889d6
github.com/Azure/azure-sdk-for-go	v63.3.0%2Bincompatible
github.com/Azure/azure-sdk-for-go/sdk/azcore	v1.22.0
github.com/Azure/azure-sdk-for-go/sdk/azidentity	v1.14.0
github.com/Azure/azure-sdk-for-go/sdk/azidentity/cache	v0.4.0
github.com/Azure/azure-sdk-for-go/sdk/internal	v1.12.0
github.com/Azure/azure-sdk-for-go/sdk/security/keyvault/azkeys	v1.5.0
github.com/Azure/azure-sdk-for-go/sdk/security/keyvault/internal	v1.2.0
github.com/Azure/go-ansiterm	v0.0.0-20210617225240-d185dfc1b5a1
github.com/Azure/go-ansiterm	v0.0.0-20250102033503-faa5f7b0171c
github.com/Azure/go-autorest	v14.2.0%2Bincompatible
github.com/Azure/go-autorest/autorest	v0.11.27
github.com/Azure/go-autorest/autorest/adal	v0.9.20
github.com/Azure/go-autorest/autorest/azure/auth	v0.5.11
github.com/Azure/go-autorest/autorest/azure/cli	v0.4.5
github.com/Azure/go-autorest/autorest/date	v0.3.0
github.com/Azure/go-autorest/autorest/to	v0.4.0
github.com/Azure/go-autorest/autorest/validation	v0.3.1
github.com/Azure/go-autorest/logger	v0.2.1
github.com/Azure/go-autorest/tracing	v0.6.0
github.com/AzureAD/microsoft-authentication-extensions-for-go/cache	v0.1.1
github.com/AzureAD/microsoft-authentication-library-for-go	v1.7.2
github.com/BurntSushi/toml	v1.2.1
github.com/BurntSushi/toml	v1.6.0
github.com/DATA-DOG/go-sqlmock	v1.5.2
github.com/GoogleCloudPlatform/opentelemetry-operations-go/detectors/gcp	v1.33.0
github.com/GoogleCloudPlatform/opentelemetry-operations-go/exporter/metric	v0.57.0
github.com/GoogleCloudPlatform/opentelemetry-operations-go/internal/cloudmock	v0.57.0
github.com/GoogleCloudPlatform/opentelemetry-operations-go/internal/resourcemapping	v0.57.0
github.com/JohannesKaufmann/html-to-markdown	v1.6.0
github.com/MakeNowJust/heredoc	v1.0.0
github.com/Masterminds/goutils	v1.1.1
github.com/Masterminds/semver/v3	v3.2.0
github.com/Masterminds/semver/v3	v3.5.0
github.com/Masterminds/sprig/v3	v3.2.3
github.com/Masterminds/sprig/v3	v3.3.0
github.com/Masterminds/squirrel	v1.5.3
github.com/Masterminds/squirrel	v1.5.4
github.com/Microsoft/go-winio	v0.6.0
github.com/Microsoft/go-winio	v0.6.2
github.com/Nvveen/Gotty	v0.0.0-20120604004816-cd527374f1e5
github.com/ProtonMail/go-crypto	v0.0.0-20230217124315-7d5c6f04bbb8
github.com/ProtonMail/go-crypto	v1.4.1
github.com/PuerkitoBio/goquery	v1.9.2
github.com/PuerkitoBio/purell	v1.1.1
github.com/PuerkitoBio/urlesc	v0.0.0-20170810143723-de5bf2ad4578
github.com/acomagu/bufpipe	v1.0.4
github.com/agext/levenshtein	v1.2.3
github.com/alecthomas/assert	v0.0.0-20170929043011-405dbfeb8e38
github.com/alecthomas/chroma	v0.9.2
github.com/alecthomas/colour	v0.0.0-20160524082231-60882d9e2721
github.com/alecthomas/repr	v0.0.0-20180818092828-117648cd9897
github.com/andybalholm/cascadia	v1.3.2
github.com/anmitsu/go-shlex	v0.0.0-20200514113438-38f4b401e2be
github.com/apparentlymart/go-textseg/v15	v15.0.0
github.com/apparentlymart/go-textseg/v17	v17.0.1
github.com/aquasecurity/go-pep440-version	v0.0.1
github.com/aquasecurity/go-version	v0.0.1
github.com/armon/go-metrics	v0.3.10
github.com/armon/go-radix	v1.0.0
github.com/armon/go-socks5	v0.0.0-20160902184237-e75332964ef5
github.com/asaskevich/govalidator	v0.0.0-20200428143746-21a406dcc535
github.com/asaskevich/govalidator	v0.0.0-20230301143203-a9d515a09cc2
github.com/aws/aws-sdk-go	v1.44.203
github.com/aws/aws-sdk-go-v2	v1.42.1
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream	v1.7.13
github.com/aws/aws-sdk-go-v2/config	v1.32.30
github.com/aws/aws-sdk-go-v2/credentials	v1.19.29
github.com/aws/aws-sdk-go-v2/feature/ec2/imds	v1.18.30
github.com/aws/aws-sdk-go-v2/feature/s3/manager	v1.22.28
github.com/aws/aws-sdk-go-v2/internal/configsources	v1.4.30
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2	v2.7.30
github.com/aws/aws-sdk-go-v2/internal/v4a	v1.4.31
github.com/aws/aws-sdk-go-v2/service/ec2	v1.316.1
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding	v1.13.13
github.com/aws/aws-sdk-go-v2/service/internal/checksum	v1.9.22
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url	v1.13.30
github.com/aws/aws-sdk-go-v2/service/internal/s3shared	v1.19.29
github.com/aws/aws-sdk-go-v2/service/kms	v1.53.4
github.com/aws/aws-sdk-go-v2/service/s3	v1.104.0
github.com/aws/aws-sdk-go-v2/service/signin	v1.4.1
github.com/aws/aws-sdk-go-v2/service/sso	v1.32.1
github.com/aws/aws-sdk-go-v2/service/ssooidc	v1.37.1
github.com/aws/aws-sdk-go-v2/service/sts	v1.44.1
github.com/aws/smithy-go	v1.27.3
github.com/bahlo/generic-list-go	v0.2.0
github.com/beevik/etree	v1.1.0
github.com/beevik/etree	v1.7.0
github.com/beorn7/perks	v1.0.1
github.com/blang/semver	v3.5.1%2Bincompatible
github.com/blang/semver/v4	v4.0.0
github.com/bshuster-repo/logrus-logstash-hook	v1.1.0
github.com/buger/jsonparser	v1.1.2
