github.com/alicebob/gopher-json	v0.0.0-20180125190556-5a6b3ba71ee6
github.com/alicebob/miniredis/v2	v2.11.4
github.com/davecgh/go-spew	v1.1.0
github.com/fsnotify/fsnotify	v1.4.7
github.com/go-redis/redis/v7	v7.2.0
github.com/golang/protobuf	v1.3.2
github.com/gomodule/redigo	v1.7.1-0.20190322064113-39e2c31b7ca3
github.com/hpcloud/tail	v1.0.0
github.com/imdario/mergo	v0.3.9
github.com/kr/pretty	v0.1.0
github.com/kr/text	v0.1.0
github.com/onsi/ginkgo	v1.11.0
github.com/onsi/gomega	v1.8.1
github.com/pmezard/go-difflib	v1.0.0
github.com/ssgreg/repeat	v1.5.0
github.com/stretchr/testify	v1.5.1
github.com/yuin/gopher-lua	v0.0.0-20191220021717-ab39c6098bdb
golang.org/x/net	v0.0.0-20190923162816-aa69164e4478
golang.org/x/sys	v0.0.0-20191010194322-b09406accb47
golang.org/x/text	v0.3.2
golang.org/x/xerrors	v0.0.0-20190717185122-a985d3407aa7
gopkg.in/check.v1	v1.0.0-20190902080502-41f04d3bba15
gopkg.in/fsnotify.v1	v1.4.7
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.2.7
