filippo.io/edwards25519	v1.2.0
github.com/Azure/azure-sdk-for-go/sdk/azcore	v1.18.0
github.com/Azure/azure-sdk-for-go/sdk/azidentity	v1.10.1
github.com/Azure/azure-sdk-for-go/sdk/internal	v1.11.1
github.com/Azure/azure-sdk-for-go/sdk/security/keyvault/azkeys	v1.3.1
github.com/Azure/azure-sdk-for-go/sdk/security/keyvault/internal	v1.1.1
github.com/AzureAD/microsoft-authentication-library-for-go	v1.4.2
github.com/bitly/go-hostpool	v0.0.0-20171023180738-a3a6125de932
github.com/bmizerany/assert	v0.0.0-20160611221934-b7ed37b82869
github.com/davecgh/go-spew	v1.1.1
github.com/dustin/go-humanize	v1.0.1
github.com/go-sql-driver/mysql	v1.10.0
github.com/gocql/gocql	v1.7.0
github.com/golang-jwt/jwt/v5	v5.2.2
github.com/golang-sql/civil	v0.0.0-20220223132316-b832511892a9
github.com/golang-sql/sqlexp	v0.1.0
github.com/golang/snappy	v0.0.3
github.com/google/pprof	v0.0.0-20250317173921-a4b03ec1a45e
github.com/google/uuid	v1.6.0
github.com/hailocab/go-hostpool	v0.0.0-20160125115350-e80d13ce29ed
github.com/hashicorp/golang-lru/v2	v2.0.7
github.com/kr/pretty	v0.1.0
github.com/kr/text	v0.1.0
github.com/kylelemons/godebug	v1.1.0
github.com/lib/pq	v1.12.3
github.com/mattn/go-isatty	v0.0.20
github.com/microsoft/go-mssqldb	v1.9.5
github.com/ncruces/go-strftime	v1.0.0
github.com/pkg/browser	v0.0.0-20240102092130-5ac0b6a4141c
github.com/pmezard/go-difflib	v1.0.0
github.com/rafaelespinoza/alf	v0.2.0
github.com/remyoudompheng/bigfft	v0.0.0-20230129092748-24d4a6f8daec
github.com/romantomjak/devslog	v1.1.0
github.com/shopspring/decimal	v1.4.0
github.com/stretchr/testify	v1.10.0
golang.org/x/crypto	v0.45.0
golang.org/x/mod	v0.37.0
golang.org/x/net	v0.47.0
golang.org/x/sync	v0.21.0
golang.org/x/sys	v0.46.0
golang.org/x/text	v0.31.0
golang.org/x/tools	v0.47.0
gopkg.in/inf.v0	v0.9.1
gopkg.in/yaml.v3	v3.0.1
modernc.org/cc/v4	v4.29.0
modernc.org/ccgo/v4	v4.34.6
modernc.org/fileutil	v1.4.0
modernc.org/gc/v2	v2.6.5
modernc.org/gc/v3	v3.1.4
modernc.org/goabi0	v0.2.0
modernc.org/libc	v1.74.1
modernc.org/mathutil	v1.7.1
modernc.org/memory	v1.11.0
modernc.org/opt	v0.2.0
modernc.org/sortutil	v1.2.1
modernc.org/sqlite	v1.54.0
modernc.org/strutil	v1.2.1
modernc.org/token	v1.1.0
