github.com/pgrwl/pgrwl
github.com/alecthomas/kingpin/v2 v2.4.0
github.com/alecthomas/units v0.0.0-20240927000941-0f3dac36c52b
github.com/aws/aws-sdk-go-v2 v1.41.12
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream v1.7.13
github.com/aws/aws-sdk-go-v2/config v1.32.23
github.com/aws/aws-sdk-go-v2/credentials v1.19.22
github.com/aws/aws-sdk-go-v2/feature/ec2/imds v1.18.28
github.com/aws/aws-sdk-go-v2/feature/s3/transfermanager v0.2.6
github.com/aws/aws-sdk-go-v2/internal/configsources v1.4.28
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2 v2.7.28
github.com/aws/aws-sdk-go-v2/internal/v4a v1.4.29
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding v1.13.12
github.com/aws/aws-sdk-go-v2/service/internal/checksum v1.9.21
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url v1.13.28
github.com/aws/aws-sdk-go-v2/service/internal/s3shared v1.19.28
github.com/aws/aws-sdk-go-v2/service/s3 v1.103.2
github.com/aws/aws-sdk-go-v2/service/signin v1.1.4
github.com/aws/aws-sdk-go-v2/service/sso v1.31.2
github.com/aws/aws-sdk-go-v2/service/ssooidc v1.36.5
github.com/aws/aws-sdk-go-v2/service/sts v1.43.2
github.com/aws/smithy-go v1.27.1
github.com/beorn7/perks v1.0.1
github.com/cespare/xxhash/v2 v2.3.0
github.com/davecgh/go-spew v1.1.1
github.com/golang-jwt/jwt/v5 v5.3.0
github.com/golang/protobuf v1.5.0
github.com/google/go-cmp v0.7.0
github.com/google/uuid v1.6.0
github.com/jackc/pgio v1.0.0
github.com/jackc/pglogrepl v0.0.0-20260401131349-e37c41485510
github.com/jackc/pgpassfile v1.0.0
github.com/jackc/pgservicefile v0.0.0-20240606120523-5a60cdf6a761
github.com/jackc/pgx/v5 v5.10.0
github.com/jackc/puddle/v2 v2.2.2
github.com/jpillora/backoff v1.0.0
github.com/json-iterator/go v1.1.12
github.com/julienschmidt/httprouter v1.3.0
github.com/klauspost/compress v1.18.6
github.com/kr/fs v0.1.0
github.com/kr/pretty v0.3.1
github.com/kr/text v0.2.0
github.com/kylelemons/godebug v1.1.0
github.com/modern-go/concurrent v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2 v1.0.2
github.com/munnerz/goautoneg v0.0.0-20191010083416-a7dc8b61c822
github.com/mwitkow/go-conntrack v0.0.0-20190716064945-2f068394615f
github.com/pkg/sftp v1.13.10
github.com/pmezard/go-difflib v1.0.0
github.com/prometheus/client_golang v1.23.2
github.com/prometheus/client_model v0.6.2
github.com/prometheus/common v0.67.5
github.com/prometheus/procfs v0.20.1
github.com/robfig/cron/v3 v3.0.1
github.com/rogpeppe/go-internal v1.14.1
github.com/sethvargo/go-envconfig v1.3.0
github.com/stretchr/objx v0.5.2
github.com/stretchr/testify v1.11.1
github.com/urfave/cli/v3 v3.9.0
github.com/xhit/go-str2duration/v2 v2.1.0
go.uber.org/goleak v1.3.0
go.yaml.in/yaml/v2 v2.4.4
go.yaml.in/yaml/v3 v3.0.3
golang.org/x/crypto v0.52.0
golang.org/x/mod v0.35.0
golang.org/x/net v0.54.0
golang.org/x/oauth2 v0.34.0
golang.org/x/sync v0.20.0
golang.org/x/sys v0.45.0
golang.org/x/term v0.43.0
golang.org/x/text v0.37.0
golang.org/x/time v0.15.0
golang.org/x/tools v0.44.0
google.golang.org/protobuf v1.36.11
gopkg.in/check.v1 v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3 v3.0.1
sigs.k8s.io/randfill v1.0.0
sigs.k8s.io/yaml v1.6.0
