github.com/creack/pty	v1.1.9
github.com/frankban/quicktest	v1.14.6
github.com/google/btree	v1.0.0
github.com/google/go-cmp	v0.5.9
github.com/kr/pretty	v0.3.1
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.2.0
github.com/niemeyer/pretty	v0.0.0-20200227124842-a10e7caefd8e
github.com/peterbourgon/diskv/v3	v3.0.1
github.com/pkg/diff	v0.0.0-20210226163009-20ebb0f2a09e
github.com/pkg/profile	v1.5.0
github.com/rogpeppe/fastuuid	v1.2.0
github.com/rogpeppe/go-internal	v1.9.0
github.com/shabbyrobe/xmlwriter	v0.0.0-20200208144257-9fca06d00ffa
golang.org/x/mod	v0.6.0-dev.0.20220419223038-86c51ed26bb4
golang.org/x/sys	v0.0.0-20220722155257-8c9f86f7a55f
golang.org/x/text	v0.3.8
golang.org/x/tools	v0.1.12
gopkg.in/check.v1	v1.0.0-20200902074654-038fdea0a05b
