github.com/davecgh/go-spew	v1.1.1
github.com/fsnotify/fsnotify	v1.5.4
github.com/golang/protobuf	v1.5.2
github.com/golang/snappy	v0.0.4
github.com/google/go-cmp	v0.5.5
github.com/nxadm/tail	v1.4.8
github.com/onsi/ginkgo	v1.16.5
github.com/onsi/ginkgo/v2	v2.1.3
github.com/onsi/gomega	v1.19.0
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/testify	v1.7.2
golang.org/x/net	v0.0.0-20220607020251-c690dde0001d
golang.org/x/sys	v0.0.0-20220520151302-bc2c85ada10a
golang.org/x/text	v0.3.7
golang.org/x/xerrors	v0.0.0-20220517211312-f3a8303e98df
google.golang.org/protobuf	v1.26.0
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
