cloud.google.com/go/compute/metadata	v0.3.0
github.com/NYTimes/gziphandler	v1.1.1
github.com/bwmarrin/discordgo	v0.29.0
github.com/creack/pty	v1.1.9
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/emicklei/go-restful/v3	v3.13.0
github.com/fxamacker/cbor/v2	v2.9.2
github.com/go-logr/logr	v1.4.3
github.com/go-openapi/jsonpointer	v0.24.0
github.com/go-openapi/jsonreference	v0.21.6
github.com/go-openapi/swag	v0.27.0
github.com/go-openapi/swag/cmdutils	v0.27.0
github.com/go-openapi/swag/conv	v0.27.0
github.com/go-openapi/swag/fileutils	v0.27.0
github.com/go-openapi/swag/jsonname	v0.26.0
github.com/go-openapi/swag/jsonutils	v0.27.0
github.com/go-openapi/swag/jsonutils/fixtures_test	v0.27.0
github.com/go-openapi/swag/loading	v0.27.0
github.com/go-openapi/swag/mangling	v0.27.0
github.com/go-openapi/swag/netutils	v0.27.0
github.com/go-openapi/swag/stringutils	v0.27.0
github.com/go-openapi/swag/typeutils	v0.27.0
github.com/go-openapi/swag/yamlutils	v0.27.0
github.com/go-openapi/testify/enable/yaml/v2	v2.6.0
github.com/go-openapi/testify/v2	v2.6.0
github.com/go-test/deep	v1.1.1
github.com/golang/protobuf	v1.5.0
github.com/google/btree	v1.1.3
github.com/google/gnostic-models	v0.7.1
github.com/google/go-cmp	v0.7.0
github.com/google/go-github/v41	v41.0.1-0.20211227215900-a899e0fadbec
github.com/google/go-querystring	v1.2.0
github.com/google/gofuzz	v1.0.0
github.com/google/uuid	v1.6.0
github.com/gorilla/websocket	v1.5.4-0.20250319132907-e064f32e3674
github.com/josharian/intern	v1.0.0
github.com/json-iterator/go	v1.1.12
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/mailru/easyjson	v0.7.7
github.com/moby/spdystream	v0.5.1
github.com/modern-go/concurrent	v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2	v1.0.3-0.20250322232337-35a7c28c31ee
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822
github.com/mxk/go-flowrate	v0.0.0-20140419014527-cca7078d478f
github.com/peterbourgon/diskv	v2.0.1+incompatible
github.com/pmezard/go-difflib	v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/robfig/cron/v3	v3.0.1
github.com/rogpeppe/go-internal	v1.14.1
github.com/slack-go/slack	v0.27.0
github.com/spf13/pflag	v1.0.10
github.com/stretchr/objx	v0.5.3
github.com/stretchr/testify	v1.11.1
github.com/x448/float16	v0.8.4
go.uber.org/goleak	v1.3.0
go.yaml.in/yaml/v2	v2.4.4
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/crypto	v0.53.0
golang.org/x/exp	v0.0.0-20260611194520-c48552f49976
golang.org/x/mod	v0.37.0
golang.org/x/net	v0.56.0
golang.org/x/oauth2	v0.36.0
golang.org/x/sync	v0.21.0
golang.org/x/sys	v0.46.0
golang.org/x/term	v0.44.0
golang.org/x/text	v0.38.0
golang.org/x/time	v0.15.0
golang.org/x/tools	v0.46.0
golang.org/x/tools/go/expect	v0.1.1-deprecated
golang.org/x/tools/go/packages/packagestest	v0.1.1-deprecated
google.golang.org/appengine	v1.6.7
google.golang.org/protobuf	v1.36.12-0.20260120151049-f2248ac996af
gopkg.in/alexcesaro/quotedprintable.v3	v3.0.0-20150716171945-2caba252f4dc
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/evanphx/json-patch.v4	v4.13.0
gopkg.in/inf.v0	v0.9.1
gopkg.in/mail.v2	v2.3.1
gopkg.in/yaml.v3	v3.0.1
k8s.io/api	v0.36.2
k8s.io/apimachinery	v0.36.2
k8s.io/client-go	v0.36.2
k8s.io/gengo/v2	v2.0.0-20250922181213-ec3ebc5fd46b
k8s.io/klog/v2	v2.140.0
k8s.io/kube-openapi	v0.0.0-20260624041617-8f3fa4921821
k8s.io/streaming	v0.36.2
k8s.io/utils	v0.0.0-20260626114624-be93311217bd
sigs.k8s.io/json	v0.0.0-20250730193827-2d320260d730
sigs.k8s.io/randfill	v1.0.0
sigs.k8s.io/structured-merge-diff/v6	v6.4.0
sigs.k8s.io/yaml	v1.6.0
