bitbucket.org/ai69/colorlogo	v0.1.1
bitbucket.org/neiku/winornot	v0.0.4
github.com/1set/gut	v0.0.0-20201117175203-a82363231997
github.com/1set/starlight	v0.1.0
github.com/1set/starlight	v0.2.1
github.com/aymanbagabas/go-osc52	v1.0.3
github.com/chzyer/readline	v0.0.0-20180603132655-2972be24d48e
github.com/google/uuid	v1.6.0
github.com/h2so5/here	v0.0.0-20200815043652-5e14eb691fae
github.com/lucasb-eyer/go-colorful	v1.2.0
github.com/mattn/go-isatty	v0.0.16
github.com/mattn/go-runewidth	v0.0.14
github.com/montanaflynn/stats	v0.7.1
github.com/muesli/termenv	v0.13.0
github.com/rivo/uniseg	v0.2.0
github.com/santhosh-tekuri/jsonschema/v5	v5.3.1
github.com/spf13/pflag	v1.0.5
github.com/spyzhov/ajson	v0.9.6
go.starlark.net	v0.0.0-20240123142251-f86470692795
go.starlark.net	v0.0.0-20260324133313-ffb3f39dd27a
go.uber.org/atomic	v1.11.0
go.uber.org/multierr	v1.9.0
go.uber.org/zap	v1.24.0
golang.org/x/sys	v0.0.0-20220715151400-c0bba94af5f8
golang.org/x/sys	v0.0.0-20220908164124-27713097b956
golang.org/x/term	v0.0.0-20220526004731-065cf7ba2467
