github.com/PuerkitoBio/goquery	v1.8.0
github.com/andybalholm/cascadia	v1.3.1
github.com/davecgh/go-spew	v1.1.0
github.com/google/go-cmp	v0.5.8
github.com/kkyr/assert	v0.2.1
github.com/piprate/json-gold	v0.4.1
github.com/pmezard/go-difflib	v1.0.0
github.com/pquerna/cachecontrol	v0.0.0-20180517163645-1555304b9b35
github.com/senseyeio/duration	v0.0.0-20180430131211-7c2a214ada46
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.4.0
golang.org/x/net	v0.8.0
golang.org/x/sys	v0.6.0
golang.org/x/term	v0.6.0
golang.org/x/text	v0.8.0
golang.org/x/tools	v0.0.0-20180917221912-90fa682c2a6e
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v2	v2.2.8
