github.com/burntsushi/toml	v0.3.1
github.com/cockroachdb/apd	v1.1.0
github.com/coreos/go-systemd	v0.0.0-20190719114852-fd7a80b32e1f
github.com/creack/pty	v1.1.7
github.com/davecgh/go-spew	v1.1.1
github.com/go-kit/log	v0.1.0
github.com/go-logfmt/logfmt	v0.5.0
github.com/go-stack/stack	v1.8.0
github.com/gofrs/uuid	v4.0.0%2Bincompatible
github.com/google/renameio	v0.1.0
github.com/jackc/chunkreader	v1.0.0
github.com/jackc/chunkreader/v2	v2.0.1
github.com/jackc/pgconn	v1.12.0
github.com/jackc/pgio	v1.0.0
github.com/jackc/pgmock	v0.0.0-20210724152146-4ad1a8207f65
github.com/jackc/pgpassfile	v1.0.0
github.com/jackc/pgproto3	v1.1.0
github.com/jackc/pgproto3/v2	v2.3.0
github.com/jackc/pgservicefile	v0.0.0-20200714003250-2b9c44734f2b
github.com/jackc/pgtype	v1.11.0
github.com/jackc/pgx/v4	v4.16.0
github.com/jackc/puddle	v1.2.1
github.com/jinzhu/inflection	v1.0.0
github.com/jinzhu/now	v1.1.4
github.com/kisielk/gotool	v1.0.0
github.com/konsorten/go-windows-terminal-sequences	v1.0.2
github.com/kr/pretty	v0.1.0
github.com/kr/pty	v1.1.8
github.com/kr/text	v0.1.0
github.com/lib/pq	v1.10.2
github.com/masterminds/semver/v3	v3.1.1
github.com/mattn/go-colorable	v0.1.6
github.com/mattn/go-isatty	v0.0.12
github.com/pkg/errors	v0.8.1
github.com/pmezard/go-difflib	v1.0.0
github.com/rogpeppe/go-internal	v1.3.0
github.com/rs/xid	v1.2.1
github.com/rs/zerolog	v1.15.0
github.com/satori/go.uuid	v1.2.0
github.com/shopspring/decimal	v1.2.0
github.com/sirupsen/logrus	v1.4.2
github.com/stretchr/objx	v0.2.0
github.com/stretchr/testify	v1.7.0
github.com/zenazn/goji	v0.9.0
go.uber.org/atomic	v1.6.0
go.uber.org/multierr	v1.5.0
go.uber.org/tools	v0.0.0-20190618225709-2cfd321de3ee
go.uber.org/zap	v1.13.0
golang.org/x/crypto	v0.0.0-20210921155107-089bfa567519
golang.org/x/lint	v0.0.0-20190930215403-16217165b5de
golang.org/x/mod	v0.1.1-0.20191105210325-c90efee705ee
golang.org/x/net	v0.0.0-20210226172049-e18ecbb05110
golang.org/x/sync	v0.0.0-20190423024810-112230192c58
golang.org/x/sys	v0.0.0-20210615035016-665e8c7367d1
golang.org/x/term	v0.0.0-20201126162022-7de9c90e9dd1
golang.org/x/text	v0.3.7
golang.org/x/tools	v0.0.0-20200103221440-774c71fcf114
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
gopkg.in/check.v1	v1.0.0-20180628173108-788fd7840127
gopkg.in/data-dog/go-sqlmock.v1	v1.3.0
gopkg.in/errgo.v2	v2.1.0
gopkg.in/inconshreveable/log15.v2	v2.0.0-20180818164646-67afb5ed74ec
gopkg.in/yaml.v2	v2.2.2
gopkg.in/yaml.v3	v3.0.0-20200313102051-9f266ea9e77c
gorm.io/driver/postgres	v1.3.5
gorm.io/gorm	v1.23.5
honnef.co/go/tools	v0.0.1-2019.2.3
