github.com/briandowns/spinner	v1.9.0
github.com/chzyer/logex	v1.2.1
github.com/chzyer/readline	v0.0.0-20180603132655-2972be24d48e
github.com/chzyer/test	v1.0.0
github.com/davecgh/go-spew	v1.1.1
github.com/fatih/color	v1.7.0
github.com/geoffgarside/ber	v0.0.0-20190912223231-00c19d63973f
github.com/gizak/termui	v2.3.0+incompatible
github.com/google/gopacket	v1.1.17
github.com/gorilla/mux	v1.7.4
github.com/k-sone/snmpgo	v3.2.0+incompatible
github.com/maruel/panicparse	v1.3.0
github.com/mattn/go-colorable	v0.1.2
github.com/mattn/go-isatty	v0.0.8
github.com/mattn/go-runewidth	v0.0.8
github.com/mgutz/ansi	v0.0.0-20170206155736-9520e82c474b
github.com/miekg/dns	v1.1.27
github.com/mitchellh/go-wordwrap	v1.0.0
github.com/nbio/st	v0.0.0-20140626010706-e9e8d9816f32
github.com/nsf/termbox-go	v0.0.0-20200204031403-4d2b513ad8be
github.com/olekukonko/tablewriter	v0.0.4
github.com/pmezard/go-difflib	v1.0.0
github.com/rakyll/statik	v0.1.6
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
golang.org/x/crypto	v0.0.0-20191011191535-87dc89f01550
golang.org/x/mod	v0.1.1-0.20191105210325-c90efee705ee
golang.org/x/net	v0.0.0-20200219183655-46282727080f
golang.org/x/sync	v0.0.0-20190423024810-112230192c58
golang.org/x/sys	v0.0.0-20190924154521-2837fb4f24fe
golang.org/x/text	v0.3.0
golang.org/x/tools	v0.0.0-20191216052735-49a3e744a425
golang.org/x/xerrors	v0.0.0-20191011141410-1b5146add898
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/h2non/gock.v0	v0.1.6
gopkg.in/yaml.v3	v3.0.1
