github.com/BurntSushi/toml	v0.3.1
github.com/armon/go-metrics	v0.0.0-20190430140413-ec5e00d3c878
github.com/aws/aws-sdk-go	v1.23.20
github.com/coreos/etcd	v3.3.3%2Bincompatible
github.com/goccy/go-yaml	v1.19.0
github.com/gogo/protobuf	v1.2.0
github.com/golang/protobuf	v1.3.1
github.com/golang/snappy	v0.0.1
github.com/hashicorp/consul/api	v1.1.0
github.com/hashicorp/errwrap	v1.0.0
github.com/hashicorp/go-cleanhttp	v0.5.1
github.com/hashicorp/go-immutable-radix	v1.0.0
github.com/hashicorp/go-multierror	v1.0.0
github.com/hashicorp/go-retryablehttp	v0.5.4
github.com/hashicorp/go-rootcerts	v1.0.1
github.com/hashicorp/go-sockaddr	v1.0.2
github.com/hashicorp/golang-lru	v0.5.1
github.com/hashicorp/hcl	v1.0.0
github.com/hashicorp/serf	v0.8.2
github.com/hashicorp/vault/api	v1.0.4
github.com/hashicorp/vault/sdk	v0.1.13
github.com/jmespath/go-jmespath	v0.0.0-20180206201540-c2b33e8439af
github.com/mitchellh/mapstructure	v1.1.2
github.com/pierrec/lz4	v2.0.5%2Bincompatible
github.com/pkg/errors	v0.8.1
github.com/ryanuber/go-glob	v1.0.0
golang.org/x/crypto	v0.0.0-20190506204251-e1dfcc566284
golang.org/x/net	v0.0.0-20190620200207-3b0461eec859
golang.org/x/sys	v0.0.0-20190508220229-2d0786266e9c
golang.org/x/text	v0.3.1-0.20181227161524-e6919f6577db
golang.org/x/time	v0.0.0-20190308202827-9d24e82272b4
google.golang.org/genproto	v0.0.0-20190404172233-64821d5d2107
google.golang.org/grpc	v1.22.0
gopkg.in/square/go-jose.v2	v2.3.1
