github.com/ProtonMail/go-crypto	v1.4.1
github.com/PuerkitoBio/goquery	v1.12.0
github.com/alecthomas/kong	v1.15.0
github.com/andybalholm/cascadia	v1.3.3
github.com/asaskevich/govalidator	v0.0.0-20230301143203-a9d515a09cc2
github.com/blang/semver	v3.5.1%2Bincompatible
github.com/bradleyfalzon/ghinstallation/v2	v2.19.0
github.com/cenkalti/backoff/v5	v5.0.3
github.com/cespare/xxhash/v2	v2.3.0
github.com/cloudflare/circl	v1.6.3
github.com/cyberphone/json-canonicalization	v0.0.0-20241213102144-19d51d7fe467
github.com/digitorus/pkcs7	v0.0.0-20230818184609-3a137a874352
github.com/digitorus/timestamp	v0.0.0-20231217203849-220c5c2851b7
github.com/getkin/kin-openapi	v0.140.0
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-openapi/analysis	v0.25.2
github.com/go-openapi/errors	v0.22.8
github.com/go-openapi/jsonpointer	v0.22.5
github.com/go-openapi/jsonpointer	v0.23.1
github.com/go-openapi/jsonreference	v0.21.6
github.com/go-openapi/loads	v0.24.0
github.com/go-openapi/runtime	v0.32.4
github.com/go-openapi/runtime/server-middleware	v0.30.0
github.com/go-openapi/spec	v0.22.6
github.com/go-openapi/strfmt	v0.26.4
github.com/go-openapi/swag	v0.26.1
github.com/go-openapi/swag/cmdutils	v0.26.1
github.com/go-openapi/swag/conv	v0.27.0
github.com/go-openapi/swag/fileutils	v0.26.1
github.com/go-openapi/swag/jsonname	v0.25.5
github.com/go-openapi/swag/jsonname	v0.26.1
github.com/go-openapi/swag/jsonutils	v0.26.1
github.com/go-openapi/swag/loading	v0.26.1
github.com/go-openapi/swag/mangling	v0.26.1
github.com/go-openapi/swag/netutils	v0.26.1
github.com/go-openapi/swag/stringutils	v0.26.1
github.com/go-openapi/swag/typeutils	v0.27.0
github.com/go-openapi/swag/yamlutils	v0.26.1
github.com/go-openapi/validate	v0.26.0
github.com/go-viper/mapstructure/v2	v2.5.0
github.com/gofri/go-github-pagination	v1.0.1
github.com/gofri/go-github-ratelimit/v2	v2.0.2
github.com/golang-jwt/jwt/v4	v4.5.2
github.com/golangci/plugin-module-register	v0.1.2
github.com/google/certificate-transparency-go	v1.3.3
github.com/google/go-containerregistry	v0.21.7
github.com/google/go-github/otel/v89	v89.0.0
github.com/google/go-github/v88	v88.0.0
github.com/google/go-github/v89/tools/structfield	v0.0.0
github.com/google/go-querystring	v1.2.0
github.com/google/uuid	v1.6.0
github.com/grpc-ecosystem/grpc-gateway/v2	v2.29.0
github.com/in-toto/attestation	v1.2.0
github.com/in-toto/in-toto-golang	v0.11.0
github.com/oasdiff/yaml	v0.1.0
github.com/oasdiff/yaml3	v0.0.13
github.com/oklog/ulid/v2	v2.1.1
github.com/opencontainers/go-digest	v1.0.0
github.com/pkg/errors	v0.9.1
github.com/santhosh-tekuri/jsonschema/v6	v6.0.2
github.com/secure-systems-lab/go-securesystemslib	v0.11.0
github.com/shibumi/go-pathspec	v1.3.0
github.com/sigstore/protobuf-specs	v0.5.1
github.com/sigstore/rekor	v1.5.3
github.com/sigstore/rekor-tiles/v2	v2.3.0
github.com/sigstore/sigstore	v1.10.8
github.com/sigstore/sigstore-go	v1.2.2
github.com/sigstore/timestamp-authority/v2	v2.1.2
github.com/theupdateframework/go-tuf/v2	v2.4.2
github.com/transparency-dev/formats	v0.1.1
github.com/transparency-dev/merkle	v0.0.2
github.com/xlzd/gotp	v0.1.0
github.com/youmark/pkcs8	v0.0.0-20240726163527-a2c0da244d78
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/otel	v1.44.0
go.opentelemetry.io/otel/exporters/stdout/stdouttrace	v1.44.0
go.opentelemetry.io/otel/metric	v1.44.0
go.opentelemetry.io/otel/sdk	v1.44.0
go.opentelemetry.io/otel/trace	v1.44.0
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/crypto	v0.54.0
golang.org/x/mod	v0.37.0
golang.org/x/mod	v0.38.0
golang.org/x/net	v0.56.0
golang.org/x/net	v0.57.0
golang.org/x/sync	v0.22.0
golang.org/x/sys	v0.47.0
golang.org/x/term	v0.45.0
golang.org/x/text	v0.14.0
golang.org/x/text	v0.40.0
golang.org/x/tools	v0.48.0
google.golang.org/genproto/googleapis/api	v0.0.0-20260526163538-3dc84a4a5aaa
google.golang.org/genproto/googleapis/rpc	v0.0.0-20260523011958-0a33c5d7ca68
google.golang.org/grpc	v1.82.0
google.golang.org/protobuf	v1.36.11
k8s.io/klog/v2	v2.140.0
