c2sp.org/CCTV/age	v0.0.0-20251208015420-e9274a7bdbfd
filippo.io/age	v1.3.1
filippo.io/edwards25519	v1.1.0
filippo.io/hpke	v0.4.0
filippo.io/nistec	v0.0.4
github.com/cloudflare/ahocorasick	v0.0.0-20240916140611-054963ec9396
github.com/coder/websocket	v1.8.14
github.com/cpuguy83/go-md2man/v2	v2.0.6
github.com/danieljoos/wincred	v1.2.3
github.com/davecgh/go-spew	v1.1.1
github.com/dustin/go-humanize	v1.0.1
github.com/elazarl/goproxy	v1.8.3
github.com/fatih/color	v1.19.0
github.com/godbus/dbus/v5	v5.2.2
github.com/google/pprof	v0.0.0-20250317173921-a4b03ec1a45e
github.com/google/uuid	v1.6.0
github.com/hashicorp/golang-lru/v2	v2.0.7
github.com/inconshreveable/mousetrap	v1.1.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/ncruces/go-strftime	v1.0.0
github.com/oklog/ulid/v2	v2.1.1
github.com/pborman/getopt	v0.0.0-20170112200414-7148bc3a4c30
github.com/pmezard/go-difflib	v1.0.0
github.com/remyoudompheng/bigfft	v0.0.0-20230129092748-24d4a6f8daec
github.com/rogpeppe/go-internal	v1.14.1
github.com/russross/blackfriday/v2	v2.1.0
github.com/sabhiram/go-gitignore	v0.0.0-20210923224102-525f6e181f06
github.com/spf13/cobra	v1.10.2
github.com/spf13/pflag	v1.0.9
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
github.com/zalando/go-keyring	v0.2.8
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/crypto	v0.45.0
golang.org/x/exp	v0.0.0-20251023183803-a4bb9ffd2546
golang.org/x/mod	v0.33.0
golang.org/x/net	v0.47.0
golang.org/x/sync	v0.19.0
golang.org/x/sys	v0.43.0
golang.org/x/term	v0.42.0
golang.org/x/text	v0.31.0
golang.org/x/tools	v0.42.0
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
modernc.org/cc/v4	v4.27.1
modernc.org/ccgo/v4	v4.32.0
modernc.org/fileutil	v1.4.0
modernc.org/gc/v2	v2.6.5
modernc.org/gc/v3	v3.1.2
modernc.org/goabi0	v0.2.0
modernc.org/libc	v1.70.0
modernc.org/mathutil	v1.7.1
modernc.org/memory	v1.11.0
modernc.org/opt	v0.1.4
modernc.org/sortutil	v1.2.1
modernc.org/sqlite	v1.48.2
modernc.org/strutil	v1.2.1
modernc.org/token	v1.1.0
