dmitri.shuralyov.com/gpu/mtl	v0.0.0-20201218220906-28db891af037
github.com/ajstarks/svgo	v0.0.0-20181006003313-6ce6a3bcf6cd
github.com/boombuler/barcode	v1.0.0
github.com/burntsushi/xgb	v0.0.0-20160522181843-27f122750802
github.com/containous/yaegi	v0.8.14
github.com/davecgh/go-spew	v1.1.0
github.com/fogleman/gg	v1.3.0
github.com/go-gl/glfw/v3.3/glfw	v0.0.0-20200222043503-6f7a984d4dc4
github.com/golang/freetype	v0.0.0-20170609003504-e2365dfdc4a0
github.com/jung-kurt/gofpdf	v1.9.0
github.com/phpdave11/gofpdi	v1.0.7
github.com/pkg/errors	v0.8.1
github.com/pmezard/go-difflib	v1.0.0
github.com/remyoudompheng/bigfft	v0.0.0-20190728182440-6a916e37a237
github.com/ruudk/golang-pdf417	v0.0.0-20181029194003-1af4ab5afa58
github.com/stretchr/testify	v1.2.2
golang.org/x/crypto	v0.0.0-20191011191535-87dc89f01550
golang.org/x/exp	v0.0.0-20210126221216-84987778548c
golang.org/x/image	v0.0.0-20190802002840-cff245a6509b
golang.org/x/mobile	v0.0.0-20201217150744-e6ae53a27f4f
golang.org/x/mod	v0.3.1-0.20200828183125-ce943fd02449
golang.org/x/net	v0.0.0-20190620200207-3b0461eec859
golang.org/x/sync	v0.0.0-20190423024810-112230192c58
golang.org/x/sys	v0.0.0-20191001151750-bb3f8db39f24
golang.org/x/text	v0.3.0
golang.org/x/tools	v0.0.0-20200207183749-b753a1ba74fa
golang.org/x/xerrors	v0.0.0-20191011141410-1b5146add898
gonum.org/v1/exp	v0.0.0-20210104073653-5eb9eb15473a
gonum.org/v1/gonum	v0.8.2
gonum.org/v1/netlib	v0.0.0-20201012070519-2390d26c3658
gonum.org/v1/plot	v0.0.0-20190615073203-9aa86143727f
modernc.org/cc	v1.0.0
modernc.org/golex	v1.0.0
modernc.org/mathutil	v1.0.0
modernc.org/strutil	v1.1.0
modernc.org/xc	v1.0.0
rsc.io/pdf	v0.1.1
