bitbucket.org/creachadair/shell	v0.0.8
bitbucket.org/liamstask/goose	v0.0.0-20150115234039-8488cc47d90c
cel.dev/expr	v0.25.1
cloud.google.com/go	v0.123.0
cloud.google.com/go/accessapproval	v1.13.0
cloud.google.com/go/accesscontextmanager	v1.14.0
cloud.google.com/go/aiplatform	v1.125.0
cloud.google.com/go/analytics	v0.35.0
cloud.google.com/go/apigateway	v1.12.0
cloud.google.com/go/apigeeconnect	v1.12.0
cloud.google.com/go/apigeeregistry	v1.0.0
cloud.google.com/go/appengine	v1.14.0
cloud.google.com/go/area120	v0.15.0
cloud.google.com/go/artifactregistry	v1.25.0
cloud.google.com/go/asset	v1.27.0
cloud.google.com/go/assuredworkloads	v1.18.0
cloud.google.com/go/auth	v0.20.0
cloud.google.com/go/auth/oauth2adapt	v0.2.8
cloud.google.com/go/automl	v1.20.0
cloud.google.com/go/baremetalsolution	v1.9.0
cloud.google.com/go/batch	v1.19.0
cloud.google.com/go/beyondcorp	v1.7.0
cloud.google.com/go/bigquery	v1.77.0
cloud.google.com/go/bigtable	v1.47.0
cloud.google.com/go/billing	v1.26.0
cloud.google.com/go/binaryauthorization	v1.15.0
cloud.google.com/go/certificatemanager	v1.14.0
cloud.google.com/go/channel	v1.26.0
cloud.google.com/go/cloudbuild	v1.30.0
cloud.google.com/go/clouddms	v1.13.0
cloud.google.com/go/cloudtasks	v1.18.0
cloud.google.com/go/compute	v1.64.0
cloud.google.com/go/compute/metadata	v0.9.0
cloud.google.com/go/contactcenterinsights	v1.22.0
cloud.google.com/go/container	v1.52.0
cloud.google.com/go/containeranalysis	v0.19.0
cloud.google.com/go/datacatalog	v1.32.0
cloud.google.com/go/dataflow	v0.16.0
cloud.google.com/go/dataform	v1.0.0
cloud.google.com/go/datafusion	v1.13.0
cloud.google.com/go/datalabeling	v0.14.0
cloud.google.com/go/dataplex	v1.34.0
cloud.google.com/go/dataproc/v2	v2.22.0
cloud.google.com/go/dataqna	v0.13.0
cloud.google.com/go/datastore	v1.24.0
cloud.google.com/go/datastream	v1.20.0
cloud.google.com/go/deploy	v1.32.0
cloud.google.com/go/dialogflow	v1.82.0
cloud.google.com/go/dlp	v1.34.0
cloud.google.com/go/documentai	v1.48.0
cloud.google.com/go/domains	v0.15.0
cloud.google.com/go/edgecontainer	v1.9.0
cloud.google.com/go/errorreporting	v0.9.0
cloud.google.com/go/essentialcontacts	v1.12.0
cloud.google.com/go/eventarc	v1.23.0
cloud.google.com/go/filestore	v1.15.0
