cel.dev/expr	v0.25.1
cloud.google.com/go/compute/metadata	v0.9.0
github.com/DataDog/datadog-go	v4.8.3+incompatible
github.com/DataDog/zstd	v1.5.2
github.com/GoogleCloudPlatform/opentelemetry-operations-go/detectors/gcp	v1.31.0
github.com/Masterminds/goutils	v1.1.1
github.com/Masterminds/semver/v3	v3.1.1
github.com/Masterminds/sprig/v3	v3.2.1
github.com/Microsoft/go-winio	v0.6.2
github.com/Sereal/Sereal/Go/sereal	v0.0.0-20231009093132-b9187f1a92c6
github.com/aclements/go-moremath	v0.0.0-20210112150236-f10218a38794
github.com/alecthomas/template	v0.0.0-20190718012654-fb15b899a751
github.com/alecthomas/units	v0.0.0-20190717042225-c3de453c63f4
github.com/antihax/optional	v1.0.0
github.com/armon/circbuf	v0.0.0-20150827004946-bbbad097214e
github.com/armon/go-metrics	v0.6.0
github.com/armon/go-radix	v1.0.0
github.com/aws/aws-sdk-go-v2	v1.42.0
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream	v1.7.13
github.com/aws/aws-sdk-go-v2/config	v1.32.25
github.com/aws/aws-sdk-go-v2/credentials	v1.19.24
github.com/aws/aws-sdk-go-v2/feature/ec2/imds	v1.18.29
github.com/aws/aws-sdk-go-v2/feature/s3/manager	v1.22.28
github.com/aws/aws-sdk-go-v2/internal/configsources	v1.4.29
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2	v2.7.29
github.com/aws/aws-sdk-go-v2/internal/v4a	v1.4.30
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding	v1.13.12
github.com/aws/aws-sdk-go-v2/service/internal/checksum	v1.9.22
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url	v1.13.29
github.com/aws/aws-sdk-go-v2/service/internal/s3shared	v1.19.29
github.com/aws/aws-sdk-go-v2/service/s3	v1.104.0
github.com/aws/aws-sdk-go-v2/service/signin	v1.2.0
github.com/aws/aws-sdk-go-v2/service/sso	v1.31.3
github.com/aws/aws-sdk-go-v2/service/ssooidc	v1.36.6
github.com/aws/aws-sdk-go-v2/service/sts	v1.43.3
github.com/aws/smithy-go	v1.27.2
github.com/beorn7/perks	v1.0.1
github.com/bgentry/speakeasy	v0.1.0
github.com/boltdb/bolt	v1.3.1
github.com/cenkalti/backoff/v5	v5.0.3
github.com/cespare/xxhash/v2	v2.3.0
github.com/circonus-labs/circonus-gometrics	v2.3.1+incompatible
github.com/circonus-labs/circonusllhist	v0.1.3
github.com/clipperhouse/uax29/v2	v2.7.0
github.com/cncf/xds/go	v0.0.0-20260202195803-dba9d589def2
github.com/coreos/go-semver	v0.3.1
github.com/coreos/go-systemd/v22	v22.7.0
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/davecgh/go-xdr	v0.0.0-20161123171359-e6a2ba005892
github.com/dustin/go-humanize	v1.0.1
github.com/envoyproxy/go-control-plane	v0.14.0
github.com/envoyproxy/go-control-plane/envoy	v1.37.0
github.com/envoyproxy/go-control-plane/ratelimit	v0.1.0
github.com/envoyproxy/protoc-gen-validate	v1.3.3
github.com/fatih/color	v1.19.0
github.com/go-jose/go-jose/v4	v4.1.4
github.com/go-kit/kit	v0.9.0
github.com/go-logfmt/logfmt	v0.4.0
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-stack/stack	v1.8.0
github.com/go-test/deep	v1.0.8
github.com/go-viper/mapstructure/v2	v2.5.0
github.com/godbus/dbus/v5	v5.1.0
github.com/gogo/protobuf	v1.3.2
github.com/golang/glog	v1.2.5
github.com/golang/protobuf	v1.5.4
github.com/golang/snappy	v0.0.4
github.com/google/btree	v1.1.2
github.com/google/go-cmp	v0.7.0
github.com/google/gofuzz	v1.0.0
github.com/google/uuid	v1.6.0
github.com/grpc-ecosystem/go-grpc-middleware/providers/prometheus	v1.0.1
github.com/grpc-ecosystem/go-grpc-middleware/v2	v2.1.0
github.com/grpc-ecosystem/grpc-gateway/v2	v2.29.0
github.com/hashicorp/consul/api	v1.34.3
github.com/hashicorp/consul/sdk	v0.18.1
github.com/hashicorp/errwrap	v1.1.0
github.com/hashicorp/go-cleanhttp	v0.5.2
github.com/hashicorp/go-hclog	v1.6.3
github.com/hashicorp/go-immutable-radix	v1.3.1
github.com/hashicorp/go-metrics	v0.6.0
github.com/hashicorp/go-msgpack	v1.1.5
github.com/hashicorp/go-msgpack/v2	v2.1.5
github.com/hashicorp/go-multierror	v1.1.1
github.com/hashicorp/go-retryablehttp	v0.7.7
github.com/hashicorp/go-rootcerts	v1.0.2
github.com/hashicorp/go-sockaddr	v1.0.5
github.com/hashicorp/go-syslog	v1.0.0
github.com/hashicorp/go-uuid	v1.0.3
github.com/hashicorp/go-version	v1.2.1
github.com/hashicorp/golang-lru	v1.0.2
github.com/hashicorp/logutils	v1.0.0
github.com/hashicorp/mdns	v1.0.5
github.com/hashicorp/memberlist	v0.5.2
github.com/hashicorp/raft	v1.7.3
github.com/hashicorp/raft-boltdb	v0.0.0-20210409134258-03c10cc3d4ea
github.com/hashicorp/serf	v0.10.2
github.com/huandu/xstrings	v1.3.2
github.com/imdario/mergo	v0.3.11
github.com/inconshreveable/mousetrap	v1.1.0
github.com/josharian/intern	v1.0.0
github.com/json-iterator/go	v1.1.12
github.com/julienschmidt/httprouter	v1.2.0
github.com/kisielk/errcheck	v1.5.0
github.com/kisielk/gotool	v1.0.0
github.com/klauspost/compress	v1.19.0
github.com/konsorten/go-windows-terminal-sequences	v1.0.1
github.com/kr/logfmt	v0.0.0-20140226030751-b84e30acd515
github.com/kr/pretty	v0.3.1
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.2.0
github.com/labstack/gommon	v0.5.0
github.com/mailru/easyjson	v0.7.7
github.com/mattn/go-colorable	v0.1.15
github.com/mattn/go-isatty	v0.0.22
github.com/mattn/go-runewidth	v0.0.24
github.com/mattn/go-sqlite3	v1.14.47
github.com/matttproud/golang_protobuf_extensions	v1.0.1
github.com/miekg/dns	v1.1.56
github.com/mitchellh/cli	v1.1.5
github.com/mitchellh/copystructure	v1.0.0
github.com/mitchellh/go-homedir	v1.1.0
github.com/mitchellh/mapstructure	v1.5.0
github.com/mitchellh/reflectwalk	v1.0.0
github.com/mkideal/cli	v0.2.7
github.com/mkideal/expr	v0.1.0
github.com/mkideal/pkg	v0.1.3
github.com/modern-go/concurrent	v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2	v1.0.2
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822
github.com/mwitkow/go-conntrack	v0.0.0-20161129095857-cc309e4a2223
github.com/pascaldekloe/goe	v0.1.0
github.com/peterh/liner	v1.2.2
github.com/philhofer/fwd	v1.1.2
github.com/pkg/errors	v0.9.1
github.com/planetscale/vtprotobuf	v0.6.1-0.20240319094008-0393e58bdf10
github.com/pmezard/go-difflib	v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/posener/complete	v1.2.3
github.com/pquerna/ffjson	v0.0.0-20190930134022-aa0246cd15f7
github.com/prometheus/client_golang	v1.23.2
github.com/prometheus/client_model	v0.6.2
github.com/prometheus/common	v0.66.1
github.com/prometheus/procfs	v0.16.1
github.com/rogpeppe/fastuuid	v1.2.0
github.com/rogpeppe/go-internal	v1.14.1
github.com/rqlite/raft-boltdb/v2	v2.0.0-20230523104317-c08e70f4de48
github.com/rqlite/rqlite-disco-clients	v0.0.0-20250205044118-8ada2b350099
github.com/rqlite/sql	v0.0.0-20260224021119-1b2524a41372
github.com/ryanuber/columnize	v2.1.2+incompatible
github.com/sean-/seed	v0.0.0-20170313163322-e2103e2c3529
github.com/shopspring/decimal	v1.2.0
github.com/sirupsen/logrus	v1.4.2
github.com/spf13/cast	v1.3.1
github.com/spf13/cobra	v1.10.2
github.com/spf13/pflag	v1.0.10
github.com/spiffe/go-spiffe/v2	v2.6.0
github.com/stretchr/objx	v0.5.0
github.com/stretchr/testify	v1.11.1
github.com/tinylib/msgp	v1.1.8
github.com/tv42/httpunix	v0.0.0-20150427012821-b75d8614f926
github.com/valyala/bytebufferpool	v1.0.0
github.com/valyala/fasttemplate	v1.2.2
github.com/yuin/goldmark	v1.2.1
go.etcd.io/bbolt	v1.5.0
go.etcd.io/etcd/api/v3	v3.6.12
go.etcd.io/etcd/client/pkg/v3	v3.6.12
go.etcd.io/etcd/client/v3	v3.6.12
go.etcd.io/gofail	v0.2.0
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/contrib/detectors/gcp	v1.42.0
go.opentelemetry.io/contrib/instrumentation/runtime	v0.68.0
go.opentelemetry.io/otel	v1.43.0
go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetricgrpc	v1.43.0
go.opentelemetry.io/otel/metric	v1.43.0
go.opentelemetry.io/otel/sdk	v1.43.0
go.opentelemetry.io/otel/sdk/metric	v1.43.0
go.opentelemetry.io/otel/trace	v1.43.0
go.opentelemetry.io/proto/otlp	v1.10.0
go.uber.org/goleak	v1.3.0
go.uber.org/multierr	v1.11.0
go.uber.org/zap	v1.28.0
go.yaml.in/yaml/v2	v2.4.2
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/crypto	v0.53.0
golang.org/x/exp	v0.0.0-20260611194520-c48552f49976
golang.org/x/mod	v0.37.0
golang.org/x/net	v0.56.0
