filippo.io/edwards25519	v1.1.0
github.com/davecgh/go-spew	v1.1.1
github.com/denisenkom/go-mssqldb	v0.12.3
github.com/go-sql-driver/mysql	v1.7.1
github.com/go-sql-driver/mysql	v1.9.2
github.com/golang-sql/civil	v0.0.0-20190719163853-cb61b32ac6fe
github.com/golang-sql/sqlexp	v0.1.0
github.com/google/uuid	v1.6.0
github.com/jackc/pgpassfile	v1.0.0
github.com/jackc/pgservicefile	v0.0.0-20221227161230-091c0ba34f0a
github.com/jackc/pgx/v5	v5.5.4
github.com/jackc/puddle/v2	v2.2.1
github.com/klauspost/compress	v1.15.9
github.com/klauspost/compress	v1.17.2
github.com/lib/pq	v1.10.9
github.com/mattn/go-sqlite3	v1.14.28
github.com/nats-io/nats.go	v1.31.0
github.com/nats-io/nkeys	v0.4.5
github.com/nats-io/nuid	v1.0.1
github.com/pierrec/lz4/v4	v4.1.15
github.com/pmezard/go-difflib	v1.0.0
github.com/rabbitmq/amqp091-go	v1.9.0
github.com/segmentio/kafka-go	v0.4.45
github.com/sijms/go-ora/v2	v2.8.24
github.com/stretchr/testify	v1.10.0
github.com/stretchr/testify	v1.8.1
github.com/xdg-go/pbkdf2	v1.0.0
github.com/xdg-go/scram	v1.1.2
github.com/xdg-go/stringprep	v1.0.4
golang.org/x/crypto	v0.0.0-20220622213112-05595931fe9d
golang.org/x/crypto	v0.17.0
golang.org/x/crypto	v0.6.0
golang.org/x/net	v0.17.0
golang.org/x/sync	v0.1.0
golang.org/x/sys	v0.5.0
golang.org/x/text	v0.14.0
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
oracle-nats-example	
outbox-integration-test	
posgres-kafka-example	
