cloud.google.com/go/auth	v0.16.5
cloud.google.com/go/auth/oauth2adapt	v0.2.8
cloud.google.com/go/compute/metadata	v0.3.0
cloud.google.com/go/compute/metadata	v0.8.0
github.com/ProtonMail/go-crypto	v0.0.0-20230217124315-7d5c6f04bbb8
github.com/cenkalti/backoff/v4	v4.1.3
github.com/cloudflare/circl	v1.6.3
github.com/davecgh/go-spew	v1.1.1
github.com/dghubble/go-twitter	v0.0.0-20221104224141-912508c3888b
github.com/dghubble/gologin/v2/examples	
github.com/dghubble/oauth1	v0.7.3
github.com/dghubble/sessions	v0.4.1
github.com/dghubble/sling	v1.4.1
github.com/dghubble/sling	v1.4.2
github.com/felixge/httpsnoop	v1.0.4
github.com/go-logr/logr	v1.4.1
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/golang/groupcache	v0.0.0-20210331224755-41bb18bfe9da
github.com/golang/protobuf	v1.5.3
github.com/golang/protobuf	v1.5.4
github.com/google/go-cmp	v0.6.0
github.com/google/go-cmp	v0.7.0
github.com/google/go-github/v52	v52.0.0
github.com/google/go-github/v64	v64.0.0
github.com/google/go-querystring	v1.1.0
github.com/google/gofuzz	v1.2.0
github.com/google/s2a-go	v0.1.7
github.com/google/s2a-go	v0.1.9
github.com/google/uuid	v1.6.0
github.com/googleapis/enterprise-certificate-proxy	v0.3.2
github.com/googleapis/enterprise-certificate-proxy	v0.3.6
github.com/googleapis/gax-go/v2	v2.12.1
github.com/googleapis/gax-go/v2	v2.15.0
github.com/gorilla/securecookie	v1.1.2
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/pmezard/go-difflib	v1.0.0
github.com/rogpeppe/go-internal	v1.13.1
github.com/stretchr/testify	v1.11.1
github.com/stretchr/testify	v1.8.4
go.opencensus.io	v0.24.0
go.opentelemetry.io/auto/sdk	v1.1.0
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp	v0.48.0
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp	v0.61.0
go.opentelemetry.io/otel	v1.23.0
go.opentelemetry.io/otel	v1.36.0
go.opentelemetry.io/otel/metric	v1.23.0
go.opentelemetry.io/otel/metric	v1.36.0
go.opentelemetry.io/otel/sdk	v1.36.0
go.opentelemetry.io/otel/sdk/metric	v1.36.0
go.opentelemetry.io/otel/trace	v1.23.0
go.opentelemetry.io/otel/trace	v1.36.0
golang.org/x/crypto	v0.41.0
golang.org/x/crypto	v0.45.0
golang.org/x/net	v0.43.0
golang.org/x/net	v0.47.0
golang.org/x/oauth2	v0.30.0
golang.org/x/sync	v0.16.0
golang.org/x/sync	v0.18.0
golang.org/x/sys	v0.35.0
golang.org/x/sys	v0.38.0
golang.org/x/text	v0.28.0
golang.org/x/text	v0.31.0
google.golang.org/api	v0.166.0
google.golang.org/api	v0.248.0
google.golang.org/genproto	v0.0.0-20250603155806-513f23925822
google.golang.org/genproto/googleapis/api	v0.0.0-20240205150955-31a09d347014
google.golang.org/genproto/googleapis/api	v0.0.0-20250603155806-513f23925822
google.golang.org/genproto/googleapis/rpc	v0.0.0-20240213162025-012b6fc9bca9
google.golang.org/genproto/googleapis/rpc	v0.0.0-20250818200422-3122310a409c
google.golang.org/grpc	v1.61.1
google.golang.org/grpc	v1.74.2
google.golang.org/protobuf	v1.33.0
google.golang.org/protobuf	v1.36.7
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3	v3.0.1
