dario.cat/mergo	v1.0.2
github.com/Azure/azure-sdk-for-go	v68.0.0%2Bincompatible
github.com/Azure/go-autorest/autorest	v0.11.30
github.com/Azure/go-autorest/autorest/adal	v0.9.24
github.com/Azure/go-autorest/autorest/azure/auth	v0.5.13
github.com/Azure/go-autorest/autorest/azure/cli	v0.4.7
github.com/Azure/go-autorest/autorest/date	v0.3.1
github.com/Azure/go-autorest/logger	v0.2.2
github.com/Azure/go-autorest/tracing	v0.6.1
github.com/BurntSushi/toml	v1.5.0
github.com/Masterminds/semver	v1.5.0
github.com/ProtonMail/go-crypto	v1.3.0
github.com/agext/levenshtein	v1.2.3
github.com/apex/log	v1.9.0
github.com/aws/aws-sdk-go-v2	v1.42.1
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream	v1.7.14
github.com/aws/aws-sdk-go-v2/config	v1.32.24
github.com/aws/aws-sdk-go-v2/credentials	v1.19.23
github.com/aws/aws-sdk-go-v2/feature/ec2/imds	v1.18.29
github.com/aws/aws-sdk-go-v2/internal/configsources	v1.4.30
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2	v2.7.30
github.com/aws/aws-sdk-go-v2/internal/v4a	v1.4.31
github.com/aws/aws-sdk-go-v2/service/ecr	v1.55.3
github.com/aws/aws-sdk-go-v2/service/ecrpublic	v1.38.10
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding	v1.13.13
github.com/aws/aws-sdk-go-v2/service/internal/checksum	v1.9.23
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url	v1.13.30
github.com/aws/aws-sdk-go-v2/service/internal/s3shared	v1.19.31
github.com/aws/aws-sdk-go-v2/service/s3	v1.105.2
github.com/aws/aws-sdk-go-v2/service/signin	v1.1.5
github.com/aws/aws-sdk-go-v2/service/sso	v1.31.3
github.com/aws/aws-sdk-go-v2/service/ssooidc	v1.36.6
github.com/aws/aws-sdk-go-v2/service/sts	v1.43.3
github.com/aws/smithy-go	v1.27.4
github.com/awslabs/amazon-ecr-credential-helper/ecr-login	v0.12.0
github.com/aymanbagabas/go-osc52/v2	v2.0.1
github.com/beorn7/perks	v1.0.1
github.com/buildpacks/imgutil	v0.0.0-20251202182233-51c1c8c186ea
github.com/buildpacks/lifecycle	v0.21.0
github.com/buildpacks/pack	v0.40.8
github.com/c-bata/go-prompt	v0.2.6
github.com/cespare/xxhash/v2	v2.3.0
github.com/chainguard-dev/kaniko	v1.25.16
github.com/charmbracelet/bubbletea	v1.3.10
github.com/charmbracelet/colorprofile	v0.2.3-0.20250311203215-f60798e515dc
github.com/charmbracelet/lipgloss	v1.1.0
github.com/charmbracelet/x/ansi	v0.10.1
github.com/charmbracelet/x/cellbuf	v0.0.13-0.20250311204145-2c3ea96c31dd
github.com/charmbracelet/x/term	v0.2.1
github.com/chrismellard/docker-credential-acr-env	v0.0.0-20230304212654-82a0ddb27589
github.com/chzyer/readline	v1.5.1
github.com/cloudflare/circl	v1.6.3
github.com/containerd/console	v1.0.5
github.com/containerd/containerd/api	v1.10.0
github.com/containerd/containerd/v2	v2.2.5
github.com/containerd/continuity	v0.5.0
github.com/containerd/errdefs	v1.0.0
github.com/containerd/errdefs/pkg	v0.3.0
github.com/containerd/log	v0.1.0
github.com/containerd/platforms	v1.0.0-rc.4
github.com/containerd/ttrpc	v1.2.8
github.com/containerd/typeurl/v2	v2.3.0
github.com/cyphar/filepath-securejoin	v0.6.1
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/dimchansky/utfbom	v1.1.1
github.com/distribution/reference	v0.6.0
github.com/dnaeon/go-vcr	v1.2.0
github.com/docker/cli	v29.5.3%2Bincompatible
github.com/docker/distribution	v2.8.3%2Bincompatible
github.com/docker/docker	v28.5.2%2Bincompatible
github.com/docker/docker-credential-helpers	v0.9.8
github.com/docker/go-connections	v0.7.0
github.com/docker/go-metrics	v0.0.1
github.com/docker/go-units	v0.5.0
github.com/dustin/go-humanize	v1.0.1
github.com/emirpasic/gods	v1.18.1
github.com/fatih/color	v1.19.0
github.com/felixge/httpsnoop	v1.0.4
github.com/gdamore/encoding	v1.0.1
github.com/gdamore/tcell/v2	v2.13.10
github.com/getsentry/sentry-go	v0.48.0
github.com/ghodss/yaml	v1.0.0
github.com/go-git/gcfg	v1.5.1-0.20230307220236-3a3c6141e376
github.com/go-git/go-billy/v5	v5.9.0
github.com/go-git/go-git/v5	v5.19.1
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/gofrs/flock	v0.13.0
github.com/golang-jwt/jwt/v4	v4.5.2
github.com/golang/groupcache	v0.0.0-20241129210726-2c02b8208cf8
github.com/google/go-cmp	v0.7.0
github.com/google/go-containerregistry	v0.21.6
github.com/google/jsonschema-go	v0.4.3
github.com/google/shlex	v0.0.0-20191202100458-e7afc7fbc510
github.com/google/uuid	v1.6.0
github.com/gorilla/mux	v1.8.1
github.com/gorilla/websocket	v1.5.4-0.20250319132907-e064f32e3674
github.com/grpc-ecosystem/grpc-gateway/v2	v2.29.0
github.com/hashicorp/go-version	v1.9.0
github.com/heroku/color	v0.0.6
github.com/in-toto/attestation	v1.2.0
github.com/in-toto/in-toto-golang	v0.11.0
github.com/jbenet/go-context	v0.0.0-20150711004518-d14ea06fba99
github.com/karrick/tparse/v2	v2.8.2
github.com/kevinburke/ssh_config	v1.2.0
github.com/klauspost/compress	v1.18.6
github.com/klauspost/cpuid/v2	v2.3.0
github.com/lucasb-eyer/go-colorful	v1.3.0
github.com/mattn/go-colorable	v0.1.15
github.com/mattn/go-isatty	v0.0.23
github.com/mattn/go-runewidth	v0.0.16
github.com/mitchellh/go-homedir	v1.1.0
github.com/mitchellh/ioprogress	v0.0.0-20180201004757-6a23b12fa88e
github.com/moby/buildkit	v0.31.2
github.com/moby/docker-image-spec	v1.3.1
github.com/moby/go-archive	v0.2.0
github.com/moby/locker	v1.0.1
github.com/moby/moby/api	v1.55.0
github.com/moby/moby/client	v0.5.0
github.com/moby/patternmatcher	v0.6.1
github.com/moby/sys/sequential	v0.7.0
github.com/moby/sys/signal	v0.7.1
github.com/moby/sys/user	v0.4.0
github.com/moby/sys/userns	v0.1.0
github.com/moby/term	v0.5.2
github.com/modelcontextprotocol/go-sdk	v1.6.1
github.com/morikuni/aec	v1.1.0
github.com/muesli/ansi	v0.0.0-20230316100256-276c6243b2f6
github.com/muesli/cancelreader	v0.2.2
github.com/muesli/termenv	v0.16.0
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822
github.com/opencontainers/go-digest	v1.0.0
github.com/opencontainers/image-spec	v1.1.1
github.com/opencontainers/selinux	v1.15.1
github.com/pjbgf/sha1cd	v0.6.0
github.com/pkg/errors	v0.9.1
