github.com/BurntSushi/toml	v0.3.1
github.com/armon/consul-api	v0.0.0-20180202201655-eb2c6b5be1b6
github.com/coreos/etcd	v3.3.10+incompatible
github.com/coreos/go-etcd	v2.0.0+incompatible
github.com/coreos/go-semver	v0.2.0
github.com/cpuguy83/go-md2man	v1.0.10
github.com/davecgh/go-spew	v1.1.1
github.com/fsnotify/fsnotify	v1.4.7
github.com/hashicorp/hcl	v1.0.0
github.com/inconshreveable/mousetrap	v1.0.0
github.com/kr/pretty	v0.1.0
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.1.0
github.com/magiconair/properties	v1.8.0
github.com/mitchellh/go-homedir	v1.1.0
github.com/mitchellh/mapstructure	v1.1.2
github.com/pelletier/go-toml	v1.2.0
github.com/pmezard/go-difflib	v1.0.0
github.com/russross/blackfriday	v1.5.2
github.com/spf13/afero	v1.1.2
github.com/spf13/cast	v1.3.0
github.com/spf13/cobra	v0.0.5
github.com/spf13/jwalterweatherman	v1.0.0
github.com/spf13/pflag	v1.0.3
github.com/spf13/viper	v1.3.2
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.4.0
github.com/ugorji/go/codec	v0.0.0-20181204163529-d75b2dcb6bc8
github.com/xordataexchange/crypt	v0.0.3-0.20170626215501-b2862e3d0a77
golang.org/x/crypto	v0.0.0-20181203042331-505ab145d0a9
golang.org/x/sys	v0.0.0-20181205085412-a5c9d58dba9a
golang.org/x/text	v0.3.0
gopkg.in/check.v1	v1.0.0-20180628173108-788fd7840127
gopkg.in/yaml.v2	v2.2.2
gopkg.in/yaml.v3	v3.0.0-20190709130402-674ba3eaed22
