github.com/davecgh/go-spew	v1.1.1
github.com/gogo/protobuf	v1.3.2
github.com/golang/protobuf	v1.5.0
github.com/google/go-cmp	v0.6.0
github.com/kisielk/errcheck	v1.5.0
github.com/kisielk/gotool	v1.0.0
github.com/klauspost/compress	v1.17.6
github.com/paulmach/protoscan	v0.2.1
github.com/xdg-go/pbkdf2	v1.0.0
github.com/xdg-go/scram	v1.2.0
github.com/xdg-go/stringprep	v1.0.4
github.com/youmark/pkcs8	v0.0.0-20240726163527-a2c0da244d78
github.com/yuin/goldmark	v1.2.1
go.mongodb.org/mongo-driver/v2	v2.5.0
golang.org/x/crypto	v0.33.0
golang.org/x/mod	v0.3.0
golang.org/x/net	v0.0.0-20201021035429-f5854403a974
golang.org/x/sync	v0.11.0
golang.org/x/sys	v0.0.0-20200930185726-fdedc70b468f
golang.org/x/text	v0.22.0
golang.org/x/tools	v0.0.0-20210106214847-113979e3529a
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
google.golang.org/protobuf	v1.27.1
