github.com/commander-cli/commander/v2
github.com/Azure/go-ansiterm v0.0.0-20210617225240-d185dfc1b5a1
github.com/BurntSushi/toml v1.3.2
github.com/Microsoft/go-winio v0.6.1
github.com/antchfx/xmlquery v1.3.18
github.com/antchfx/xpath v1.2.5
github.com/commander-cli/cmd v1.6.0
github.com/cpuguy83/go-md2man/v2 v2.0.3
github.com/creack/pty v1.1.11
github.com/davecgh/go-spew v1.1.1
github.com/distribution/reference v0.5.0
github.com/docker/distribution v2.8.3+incompatible
github.com/docker/docker v24.0.7+incompatible
github.com/docker/go-connections v0.4.0
github.com/docker/go-units v0.5.0
github.com/gogo/protobuf v1.3.2
github.com/golang/groupcache v0.0.0-20210331224755-41bb18bfe9da
github.com/google/go-cmp v0.5.9
github.com/h2non/parth v0.0.0-20190131123155-b4df798d6542
github.com/kisielk/errcheck v1.5.0
github.com/kisielk/gotool v1.0.0
github.com/logrusorgru/aurora v2.0.3+incompatible
github.com/moby/term v0.0.0-20210619224110-3f7ff695adc6
github.com/morikuni/aec v1.0.0
github.com/nbio/st v0.0.0-20140626010706-e9e8d9816f32
github.com/opencontainers/go-digest v1.0.0
github.com/opencontainers/image-spec v1.1.0-rc5
github.com/pkg/errors v0.9.1
github.com/pmezard/go-difflib v1.0.0
github.com/russross/blackfriday v1.6.0
github.com/russross/blackfriday/v2 v2.1.0
github.com/sirupsen/logrus v1.9.0
github.com/spf13/pflag v1.0.3
github.com/stretchr/objx v0.5.0
github.com/stretchr/testify v1.8.4
github.com/tidwall/gjson v1.17.0
github.com/tidwall/match v1.1.1
github.com/tidwall/pretty v1.2.1
github.com/urfave/cli v1.22.14
github.com/xeipuuv/gojsonpointer v0.0.0-20180127040702-4e3ac2762d5f
github.com/xeipuuv/gojsonreference v0.0.0-20180127040603-bd5ef7bd5415
github.com/xeipuuv/gojsonschema v1.2.0
github.com/yuin/goldmark v1.4.13
golang.org/x/crypto v0.14.0
golang.org/x/mod v0.13.0
golang.org/x/net v0.17.0
golang.org/x/sync v0.4.0
golang.org/x/sys v0.13.0
golang.org/x/term v0.13.0
golang.org/x/text v0.13.0
golang.org/x/time v0.0.0-20220210224613-90d013bbcef8
golang.org/x/tools v0.14.0
golang.org/x/xerrors v0.0.0-20200804184101-5ec99f83aff1
gopkg.in/check.v1 v0.0.0-20161208181325-20d25e280405
gopkg.in/h2non/gentleman.v1 v1.0.4
gopkg.in/h2non/gock.v1 v1.0.16
gopkg.in/yaml.v2 v2.4.0
gopkg.in/yaml.v3 v3.0.1
gotest.tools/v3 v3.0.2
