github.com/BTBurke/caddy-jwt	v3.7.1+incompatible
github.com/abbot/go-http-auth	v0.4.0
github.com/bifurcation/mint	v0.0.0-20180715133206-93c51c6ce115
github.com/caddyserver/caddy	v1.0.3
github.com/cenkalti/backoff	v2.1.1+incompatible
github.com/cheekybits/genny	v0.0.0-20170328200008-9127e812e1e9
github.com/dgrijalva/jwt-go	v3.2.0+incompatible
github.com/dustin/go-humanize	v1.0.0
github.com/flynn/go-shlex	v0.0.0-20150515145356-3f9db97f8568
github.com/go-acme/lego	v2.5.0+incompatible
github.com/google/uuid	v1.1.1
github.com/gorilla/websocket	v1.4.0
github.com/hashicorp/go-syslog	v1.0.0
github.com/hashicorp/golang-lru	v0.5.3
github.com/jimstudt/http-authentication	v0.0.0-20140401203705-3eca13d6893a
github.com/klauspost/cpuid	v1.2.0
github.com/lucas-clemente/aes12	v0.0.0-20171027163421-cd47fb39b79f
github.com/lucas-clemente/quic-go	v0.10.2
github.com/lucas-clemente/quic-go-certificates	v0.0.0-20160823095156-d2f86524cced
github.com/mholt/certmagic	v0.6.2-0.20190624175158-6a42ef9fe8c2
github.com/miekg/dns	v1.1.22
github.com/naoina/go-stringutil	v0.1.0
github.com/naoina/toml	v0.1.1
github.com/pkg/errors	v0.9.1
github.com/russross/blackfriday	v0.0.0-20170610170232-067529f716f4
github.com/sirupsen/logrus	v1.7.0
github.com/tarent/lib-compose/v2	v2.0.1
golang.org/x/crypto	v0.0.0-20201221181555-eec23a3978ad
golang.org/x/net	v0.0.0-20201224014010-6772e930b67b
golang.org/x/sys	v0.0.0-20210113181707-4bcb84eeeb78
golang.org/x/text	v0.3.3
gopkg.in/natefinch/lumberjack.v2	v2.0.0
gopkg.in/square/go-jose.v2	v2.2.2
gopkg.in/yaml.v2	v2.4.0
