dmitri.shuralyov.com/gpu/mtl	v0.0.0-20190408044501-666a987793e9
gioui.org	v0.0.0-20210308172011-57750fc8a0a6
git.sr.ht/~sbinet/gg	v0.3.1
github.com/BurntSushi/toml	v0.3.1
github.com/BurntSushi/xgb	v0.0.0-20160522181843-27f122750802
github.com/ajstarks/deck	v0.0.0-20200831202436-30c9fc6549a9
github.com/ajstarks/deck/generate	v0.0.0-20210309230005-c3f852c02e19
github.com/ajstarks/svgo	v0.0.0-20211024235047-1546f124cd8b
github.com/boombuler/barcode	v1.0.1
github.com/caarlos0/go-version	v0.1.1
github.com/cpuguy83/go-md2man/v2	v2.0.3
github.com/davecgh/go-spew	v1.1.1
github.com/fatih/color	v1.16.0
github.com/fogleman/gg	v1.3.0
github.com/go-fonts/dejavu	v0.1.0
github.com/go-fonts/latin-modern	v0.3.0
github.com/go-fonts/liberation	v0.3.0
github.com/go-fonts/stix	v0.1.0
github.com/go-gl/glfw	v0.0.0-20190409004039-e6da0acd62b1
github.com/go-latex/latex	v0.0.0-20230307184459-12ec69307ad9
github.com/go-pdf/fpdf	v0.6.0
github.com/goccmack/gocc	v0.0.0-20230228185258-2292f9e40198
github.com/golang/freetype	v0.0.0-20170609003504-e2365dfdc4a0
github.com/gontainer/gontainer-helpers/v3	v3.0.0-20231102220126-cd3ac9fbe738
github.com/google/go-cmp	v0.5.8
github.com/inconshreveable/mousetrap	v1.1.0
github.com/jung-kurt/gofpdf	v1.0.3-0.20190309125859-24315acbbda5
github.com/kisielk/gotool	v1.0.0
github.com/mattn/go-colorable	v0.1.13
github.com/mattn/go-isatty	v0.0.20
github.com/phpdave11/gofpdf	v1.4.2
github.com/phpdave11/gofpdi	v1.0.13
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/russross/blackfriday/v2	v2.1.0
github.com/ruudk/golang-pdf417	v0.0.0-20201230142125-a7e3863a1245
github.com/spf13/cobra	v1.8.0
github.com/spf13/pflag	v1.0.5
github.com/stretchr/objx	v0.5.0
github.com/stretchr/testify	v1.8.4
github.com/yuin/goldmark	v1.4.13
golang.org/x/crypto	v0.1.0
golang.org/x/exp	v0.0.0-20230321023759-10a507213a29
golang.org/x/image	v0.6.0
golang.org/x/mobile	v0.0.0-20190719004257-d2bd2a29d028
golang.org/x/mod	v0.17.0
golang.org/x/net	v0.24.0
golang.org/x/sync	v0.7.0
golang.org/x/sys	v0.19.0
golang.org/x/telemetry	v0.0.0-20240228155512-f48c80bd79b2
golang.org/x/term	v0.6.0
golang.org/x/text	v0.8.0
golang.org/x/tools	v0.20.0
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
gonum.org/v1/gonum	v0.14.0
gonum.org/v1/netlib	v0.0.0-20190313105609-8cb42192e0e0
gonum.org/v1/plot	v0.10.1
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
honnef.co/go/tools	v0.1.3
rsc.io/pdf	v0.1.1
