github.com/fsnotify/fsnotify	v1.4.9
github.com/google/go-cmp	v0.5.6
github.com/gopherjs/gopherjs	v1.17.2
github.com/gorilla/websocket	v1.5.1
github.com/inconshreveable/mousetrap	v1.0.0
github.com/jtolds/gls	v4.20.0+incompatible
github.com/neelance/astrewrite	v0.0.0-20160511093645-99348263ae86
github.com/neelance/sourcemap	v0.0.0-20200213170602-2833bce08e4c
github.com/shurcooL/go	v0.0.0-20200502201357-93f07166e636
github.com/shurcooL/httpfs	v0.0.0-20190707220628-8d4bc4ba7749
github.com/shurcooL/vfsgen	v0.0.0-20200824052919-0d455de96546
github.com/sirupsen/logrus	v1.8.1
github.com/smarty/assertions	v1.15.0
github.com/smartystreets/goconvey	v1.8.1
github.com/spf13/cobra	v1.2.1
github.com/spf13/pflag	v1.0.5
golang.org/x/crypto	v0.14.0
golang.org/x/mod	v0.9.0
golang.org/x/net	v0.17.0
golang.org/x/sync	v0.0.0-20210220032951-036812b2e83c
golang.org/x/sys	v0.13.0
golang.org/x/term	v0.13.0
golang.org/x/text	v0.13.0
golang.org/x/tools	v0.7.0
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
