dario.cat/mergo	v1.0.2
github.com/andybalholm/brotli	v1.2.2
github.com/azure/go-ansiterm	v0.0.0-20250102033503-faa5f7b0171c
github.com/cenkalti/backoff/v4	v4.3.0
github.com/cespare/xxhash/v2	v2.3.0
github.com/clickhouse/ch-go	v0.73.0
github.com/containerd/errdefs	v1.0.0
github.com/containerd/errdefs/pkg	v0.3.0
github.com/containerd/log	v0.1.0
github.com/containerd/platforms	v0.2.1
github.com/cpuguy83/dockercfg	v0.3.2
github.com/davecgh/go-spew	v1.1.1
github.com/distribution/reference	v0.6.0
github.com/docker/go-connections	v0.7.0
github.com/docker/go-units	v0.5.0
github.com/ebitengine/purego	v0.10.1
github.com/felixge/httpsnoop	v1.0.4
github.com/go-faster/city	v1.0.1
github.com/go-faster/errors	v0.7.1
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-ole/go-ole	v1.3.0
github.com/google/uuid	v1.6.0
github.com/gorilla/websocket	v1.4.2
github.com/klauspost/compress	v1.18.6
github.com/lufia/plan9stats	v0.0.0-20260330125221-c963978e514e
github.com/magiconair/properties	v1.8.10
github.com/microsoft/go-winio	v0.6.2
github.com/mkevac/debugcharts	v0.0.0-20191222103121-ae1c48aa8615
github.com/moby/docker-image-spec	v1.3.1
github.com/moby/go-archive	v0.2.0
github.com/moby/moby/api	v1.55.0
github.com/moby/moby/client	v0.5.0
github.com/moby/patternmatcher	v0.6.1
github.com/moby/sys/sequential	v0.6.0
github.com/moby/sys/user	v0.4.0
github.com/moby/sys/userns	v0.1.0
github.com/moby/term	v0.5.2
github.com/opencontainers/go-digest	v1.0.0
github.com/opencontainers/image-spec	v1.1.1
github.com/paulmach/orb	v0.13.0
github.com/pierrec/lz4/v4	v4.1.27
github.com/pmezard/go-difflib	v1.0.0
github.com/power-devops/perfstat	v0.0.0-20240221224432-82ca36839d55
github.com/segmentio/asm	v1.2.1
github.com/shirou/gopsutil	v3.21.11%2Bincompatible
github.com/shirou/gopsutil/v4	v4.26.5
github.com/shopspring/decimal	v1.4.0
github.com/sirupsen/logrus	v1.9.4
github.com/stretchr/testify	v1.11.1
github.com/testcontainers/testcontainers-go	v0.43.0
github.com/tklauser/go-sysconf	v0.4.0
github.com/tklauser/numcpus	v0.12.0
github.com/yusufpapurcu/wmi	v1.2.4
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp	v0.69.0
go.opentelemetry.io/otel	v1.44.0
go.opentelemetry.io/otel/metric	v1.44.0
go.opentelemetry.io/otel/trace	v1.44.0
golang.org/x/crypto	v0.54.0
golang.org/x/net	v0.57.0
golang.org/x/sys	v0.47.0
gopkg.in/yaml.v3	v3.0.1
